#{"t_start": 1789919806.4455147, "env_id": "None"}
r,l,t
31.65,500,5486.928307
30.7,500,5518.000218
31.65,500,5549.115673
30.7,500,5579.794686
31.65,500,5610.388476
31.65,500,5641.247494
31.65,500,5671.862437
31.65,500,5702.809223
31.65,500,5734.090963
32.6,500,5765.249831
32.6,500,5796.510854
30.7,500,5827.657798
31.65,500,5858.797419
31.65,500,5889.654918
31.65,500,5920.529618
31.65,500,5950.86272
32.6,500,5981.90783
31.65,500,6012.999815
31.65,500,6044.284088
30.7,500,6075.430141
31.65,500,6106.656719
30.7,500,6137.634127
31.65,500,6168.317755
31.65,500,6198.733595
31.65,500,6229.691159
31.65,500,6260.786026
30.7,500,6261.913362
31.65,500,6292.88699
31.65,500,6323.943995
30.7,500,6354.878242
31.65,500,6386.306718
31.65,500,6417.623418
30.7,500,6448.889731
31.65,500,6479.738268
32.6,500,6510.288493
31.65,500,6541.021073
30.7,500,6572.286232
32.6,500,6603.286469
31.65,500,6634.617997
31.65,500,6665.657794
31.65,500,6696.910063
31.65,500,6728.13019
31.65,500,6759.155771
32.6,500,6790.383149
31.65,500,6821.756769
30.7,500,6852.345646
31.65,500,6883.116611
20.45,496,6914.382906
31.65,500,6945.66909
30.7,500,6976.951339
32.6,500,7008.010054
31.65,500,7039.127685
31.65,500,7070.140069
31.65,500,7101.404031
32.6,500,7132.597795
31.65,500,7163.520126
31.65,500,7193.94309
30.7,500,7224.460659
31.65,500,7255.112503
31.65,500,7285.472797
31.65,500,7316.348737
31.65,500,7347.515294
31.65,500,7378.445529
30.7,500,7409.461908
32.6,500,7440.324349
31.65,500,7471.517856
31.65,500,7502.251108
31.65,500,7533.131037
31.65,500,7534.259724
32.6,500,7565.605477
31.65,500,7596.883925
31.65,500,7628.054682
32.6,500,7659.323964
31.65,500,7690.480783
30.7,500,7721.656386
32.6,500,7752.891701
31.65,500,7784.172742
30.7,500,7815.364715
31.65,500,7846.593588
31.65,500,7877.709375
31.65,500,7909.16954
31.65,500,7940.549831
30.7,500,7971.760647
31.65,500,8002.781406
30.7,500,8033.542523
31.65,500,8064.072423
31.65,500,8095.228851
31.65,500,8126.30117
31.65,500,8157.157029
31.65,500,8188.274856
31.65,500,8219.304674
31.65,500,8250.456235
31.65,500,8281.43633
31.65,500,8312.505485
32.6,500,8343.404409
32.6,500,8374.578819
31.65,500,8405.206413
31.65,500,8436.35437
31.65,500,8467.496843
31.65,500,8498.668121
31.65,500,8529.825955
31.65,500,8560.504482
31.65,500,8591.479744
31.65,500,8622.587625
31.65,500,8653.764961
31.65,500,8684.656594
31.65,500,8715.736985
31.65,500,8747.402954
2.0,203,8747.825762
31.65,500,8779.283351
31.65,500,8810.630803
31.65,500,8841.914869
31.65,500,8873.127328
31.65,500,8904.623046
31.65,500,8935.652862
31.65,500,8966.440473
30.7,500,8997.055434
31.65,500,9028.166818
-7.05,60,9028.302793
31.65,500,9059.401786
