#{"t_start": 1789919805.2023544, "env_id": "None"}
r,l,t
31.65,500,3784.883109
31.65,500,3815.12039
31.65,500,3845.202059
31.65,500,3875.393164
31.65,500,3905.589882
31.65,500,3935.670269
31.65,500,3965.661359
7.75,299,3966.219727
31.65,500,3996.414529
31.65,500,4026.598754
31.65,500,4056.776507
31.65,500,4087.005048
30.7,500,4116.996967
31.65,500,4147.164524
9.85,322,4177.105996
31.65,500,4207.06996
31.65,500,4237.162685
31.65,500,4267.086637
31.65,500,4297.157206
31.65,500,4327.158462
31.65,500,4357.126988
31.65,500,4358.062107
31.65,500,4388.145232
30.7,500,4418.131469
31.65,500,4448.215292
30.7,500,4478.354156
31.65,500,4508.424925
31.65,500,4538.484185
32.6,500,4568.499741
31.65,500,4598.446059
12.45,355,4628.167815
31.65,500,4658.251096
31.65,500,4688.197859
31.65,500,4718.224768
30.7,500,4748.09544
31.65,500,4778.112532
-0.55,171,4778.430609
31.65,500,4808.384508
31.65,500,4838.399923
31.65,500,4868.392793
31.65,500,4898.543787
9.9,323,4928.35274
15.0,406,4958.248522
31.65,500,4988.184065
31.65,500,4989.121011
14.7,400,5018.874901
31.65,500,5048.852361
15.55,417,5078.645497
31.65,500,5108.513158
32.6,500,5138.512847
31.65,500,5168.524163
31.65,500,5198.549387
30.7,500,5228.496651
31.65,500,5258.472674
31.65,500,5288.342093
31.65,500,5318.4148
31.65,500,5348.265756
31.65,500,5378.219387
31.65,500,5408.195225
31.65,500,5438.117321
30.7,500,5468.156046
32.6,500,5498.116923
31.65,500,5527.937611
31.65,500,5557.883393
9.9,323,5558.488797
6.8,280,5588.011944
31.65,500,5617.980807
31.65,500,5647.884322
4.2,228,5648.311852
15.85,423,5678.362829
32.6,500,5708.451023
7.1,286,5738.040338
14.35,393,5738.774592
7.4,292,5768.357714
-2.55,131,5768.601694
9.35,312,5798.235991
-2.4,134,5798.485838
-3.05,121,5798.712883
19.6,479,5828.695212
11.5,355,5858.527869
1.5,193,5858.8889
1.5,193,5888.361551
-1.65,149,5888.639311
-1.9,144,5888.908474
-1.55,151,5918.285919
-2.45,133,5918.533318
-3.0,122,5918.760511
1.7,197,5919.125483
-3.6,110,5948.325194
10.05,326,5948.931818
31.65,500,5978.89801
-2.4,134,6008.148652
7.25,289,6008.689839
31.65,500,6038.653802
8.45,294,6068.238911
8.25,309,6068.818215
-2.25,137,6098.221077
31.65,500,6128.158756
31.65,500,6129.097029
31.65,500,6159.243389
-2.95,123,6188.573226
31.65,500,6218.635128
31.65,500,6248.56999
31.65,500,6278.573167
-2.1,140,6278.836464
15.45,415,6308.755823
31.65,500,6338.89913
13.75,381,6339.613186
31.65,500,6369.522324
32.6,500,6399.442736
31.65,500,6429.382226
31.65,500,6459.304261
-7.2,57,6459.411729
31.65,500,6489.377637
-7.1,59,6518.516756
30.7,500,6548.484252
31.65,500,6549.423134
31.65,500,6579.424853
31.65,500,6609.425477
31.65,500,6639.324962
31.65,500,6669.299732
31.65,500,6699.393594
-3.2,118,6728.693898
1.3,189,6729.047035
18.95,466,6759.105523
18.25,452,6789.197676
30.7,500,6819.324621
31.65,500,6849.377987
31.65,500,6879.46698
-7.1,59,6879.578534
10.1,327,6880.187773
-2.65,129,6909.396555
30.7,500,6939.441528
10.0,325,6940.046993
-7.15,58,6940.15546
19.15,470,6970.042152
31.65,500,7000.102262
-7.0,61,7000.217018
31.65,500,7030.179849
31.65,500,7060.229032
31.65,500,7090.289453
16.5,436,7120.15748
