#{"t_start": 1789725977.5855849, "env_id": "None"}
r,l,t
-6.4,73,1.229644
2.45,212,1.789969
5.2,248,92.82924
-7.3,55,93.015861
-2.25,137,93.296917
-6.95,62,93.412737
-6.9,63,93.591409
1.15,186,184.947513
5.95,263,185.574261
-2.35,135,185.800512
20.05,488,271.136398
-7.4,53,271.293456
7.25,289,359.849906
-7.35,54,359.996575
-2.0,142,360.316906
3.0,223,446.179418
5.35,251,446.701648
2.9,221,535.885879
19.05,468,623.768752
-2.4,134,624.093515
31.65,500,710.880046
31.65,500,800.415602
31.65,500,890.070556
30.7,500,978.476551
31.65,500,1065.475553
1.45,192,1065.883706
1.15,186,1066.295548
-6.65,68,1151.02144
0.6,175,1151.467357
1.8,199,1151.872849
31.65,500,1237.115664
-2.35,135,1320.466231
-3.2,118,1320.615224
17.9,445,1406.952145
5.55,255,1407.591979
31.65,500,1495.471669
30.7,500,1581.654952
31.65,500,3106.476963
31.65,500,3190.384411
31.65,500,3276.653208
31.65,500,3364.0099
31.65,500,18084.47669
32.6,500,18167.996336
31.65,500,18250.39784
-3.5,112,18250.700677
17.85,444,18334.60782
-7.0,61,18334.700705
31.65,500,18417.992799
-3.4,114,18418.157989
31.65,500,18502.723752
31.65,500,18585.07296
31.65,500,18668.682684
8.3,310,18750.556236
30.7,500,18832.751951
4.9,242,18833.270669
31.65,500,18916.320026
31.65,500,18998.535954
31.65,500,19081.984335
31.65,500,19165.406706
32.6,500,19248.794049
19.75,482,19331.309876
31.65,500,19414.002491
31.65,500,19497.658077
31.65,500,19581.534002
-2.1,140,19581.795131
31.65,500,19665.584041
31.65,500,19751.220088
31.65,500,19836.999597
31.65,500,19922.232897
19.15,470,20008.064737
31.65,500,20094.818066
31.65,500,20184.009626
1.7,197,20270.892394
30.7,500,20355.716662
30.7,500,20356.584924
31.65,500,20441.049365
31.65,500,20526.481325
31.65,500,20614.407426
31.65,500,20704.071691
31.65,500,20791.892029
31.65,500,20879.316999
31.65,500,20963.852229
31.65,500,21046.109264
30.7,500,21130.708652
31.65,500,21214.811065
31.65,500,21298.631886
31.65,500,21384.210448
31.65,500,21470.184994
30.7,500,21554.30161
31.65,500,21638.270331
31.65,500,21722.803939
31.65,500,21806.745853
31.65,500,21888.309383
30.7,500,21970.460279
31.65,500,22053.558517
31.65,500,22136.953143
31.65,500,22221.141601
31.65,500,22303.943692
30.7,500,22389.472204
31.65,500,22474.280042
31.65,500,22558.316964
31.65,500,22644.201236
31.65,500,22727.393142
31.65,500,22813.284305
31.65,500,22897.630832
31.65,500,22980.759223
30.7,500,23065.998721
31.65,500,23150.333457
32.6,500,23235.592075
31.65,500,23320.038173
31.65,500,23404.1933
31.65,500,23488.124856
31.65,500,23572.067455
31.65,500,23656.014198
31.65,500,23740.977801
32.6,500,23826.386584
31.65,500,23827.531051
31.65,500,23910.772903
31.65,500,23996.286077
4.55,235,24079.8896
30.7,500,24164.087629
31.65,500,24248.078722
30.7,500,24332.860741
32.6,500,24418.796103
31.65,500,24502.60908
31.65,500,24588.691226
31.65,500,24674.447609
31.65,500,24759.101676
31.65,500,24842.146873
31.65,500,24926.359533
31.65,500,25011.398176
30.7,500,25096.46575
31.65,500,25179.367479
31.65,500,25263.078131
31.65,500,25345.735428
