#{"t_start": 1789626476.6391766, "env_id": "None"}
r,l,t
14.45,395,30171.281726
30.7,500,30254.646051
-2.7,128,30254.84165
32.6,500,30338.743119
-2.1,140,30421.983218
1.85,200,30422.374566
31.65,500,30504.903969
-2.9,124,30505.138276
17.85,444,30590.809152
31.65,500,30674.719726
-2.65,129,30674.903249
-5.65,88,30755.759752
18.15,450,30756.610781
13.0,366,30840.005433
30.7,500,30924.569808
10.55,336,31007.590074
1.2,187,31008.026456
15.35,413,31092.096419
31.65,500,31175.770173
31.65,500,31259.38387
14.85,403,31343.54129
31.65,500,31426.849688
31.65,500,31509.416149
-2.8,126,31509.692077
1.45,192,31510.041036
0.8,179,31593.772468
31.65,500,31677.853868
3.2,227,31678.392977
31.65,500,31763.207572
31.65,500,31846.51834
31.65,500,31929.997163
31.65,500,32011.795008
32.6,500,32095.823859
-1.6,150,32096.0783
30.7,500,32180.490501
31.65,500,32263.496335
31.65,500,32347.706855
31.65,500,32431.174993
1.25,188,32513.164169
31.65,500,32597.679689
30.7,500,32598.545158
31.65,500,32680.616502
9.5,315,32764.125166
30.7,500,32848.629633
18.15,450,32932.493387
31.65,500,33016.560682
-2.35,135,33016.779408
11.5,355,33102.199509
14.95,405,33189.096227
31.65,500,33275.818933
32.6,500,33363.600798
31.65,500,33451.706688
-2.15,139,33452.07585
31.65,500,33539.798625
31.65,500,33627.023052
0.35,170,33627.45209
30.7,500,33714.523083
16.3,432,33802.130101
31.65,500,33888.209521
32.6,500,33975.115777
0.85,180,33975.408461
30.7,500,34063.489284
12.0,365,34149.566134
30.7,500,34236.754885
31.65,500,34324.161569
30.7,500,34409.987874
-6.2,77,34410.12099
-5.9,83,34410.290534
30.7,500,34498.650874
14.3,392,34585.889897
31.65,500,34672.031983
31.65,500,34759.51863
4.9,242,34760.004082
30.7,500,34844.839623
31.65,500,34932.106108
-7.2,57,34932.212279
31.65,500,35019.790244
31.65,500,35104.234683
31.65,500,35190.522507
7.85,301,35277.271091
31.65,500,35364.585534
11.0,345,35451.92377
31.65,500,35539.826656
31.65,500,35628.2138
31.65,500,35714.961007
31.65,500,35802.986382
31.65,500,35803.933429
18.2,451,35892.417935
-6.0,81,35978.263086
-2.2,138,35978.472072
-1.4,154,35978.695001
13.85,383,36066.115326
31.65,500,36151.684546
30.7,500,36238.615651
31.65,500,36325.745377
31.65,500,36410.880542
31.65,500,36498.169715
10.15,328,36498.865294
31.65,500,36584.594102
31.65,500,36669.999773
31.65,500,36757.021415
31.65,500,36844.870256
30.7,500,36931.584876
31.65,500,37018.550015
31.65,500,37105.708028
30.7,500,37192.602831
31.65,500,37280.231232
30.7,500,37366.842787
31.65,500,37452.514457
30.7,500,37539.326929
4.85,241,37626.712178
31.65,500,37712.735102
1.25,188,37713.16578
19.85,484,37799.555466
31.65,500,37887.938032
31.65,500,37974.559357
31.65,500,38060.877219
31.65,500,38148.749456
7.25,289,38149.503461
31.65,500,38235.667682
31.65,500,38321.529238
10.6,337,38407.404097
32.6,500,38494.303504
31.65,500,38582.257088
7.4,292,38582.710455
30.7,500,38669.716121
31.65,500,38756.063897
18.95,466,38843.467782
31.65,500,38930.723763
16.05,427,39016.927412
10.4,333,39104.553431
-3.25,117,39104.764432
31.65,500,39193.088334
31.65,500,39280.096041
-2.9,124,39280.321134
31.65,500,39365.091798
31.65,500,39449.429079
31.65,500,39536.094621
