#{"t_start": 1789725977.719453, "env_id": "None"}
r,l,t
-7.35,54,1.28813
15.45,415,2.445442
2.05,204,92.864801
4.8,240,93.416548
21.2,492,184.670991
1.2,187,268.736019
1.5,193,269.325046
31.65,500,356.339162
2.0,203,356.826545
10.5,335,445.310292
30.7,500,535.707303
31.65,500,621.41847
31.65,500,709.801739
31.65,500,798.062649
31.65,500,886.113612
18.3,472,974.120154
10.1,327,974.81736
-1.75,147,1063.048017
-3.05,121,1063.279015
-6.35,74,1063.449342
2.1,205,1150.021446
-6.95,62,1150.2281
-7.35,54,1150.352201
-0.9,164,1150.603554
3.35,230,1234.059677
1.4,191,1234.476568
-1.95,143,1234.693278
-2.5,132,1234.904086
-2.05,141,1319.108867
-3.4,114,1319.310662
-2.05,141,1319.596108
-1.85,145,1319.957103
-3.4,114,1405.284476
-2.1,140,1405.528355
-3.1,120,1405.872641
-2.55,131,1406.134353
-2.15,139,1491.597584
-1.7,148,1491.977589
-2.0,142,1492.187269
-3.05,121,1577.461439
-1.35,155,1577.846584
-2.55,131,1578.139508
-1.8,146,1578.408885
-3.35,115,3102.197775
-2.2,138,3102.440885
-1.95,143,3102.594269
1.55,194,3185.381621
-2.65,129,3185.564405
-2.25,137,3185.845628
-0.4,174,3186.18202
-2.0,142,3268.622601
-3.5,112,3268.864681
-1.15,159,3269.103599
-1.95,143,3269.297774
-3.15,119,3356.303113
-2.3,136,3356.479338
-2.95,123,3356.634913
-3.45,113,3356.783404
-2.1,140,18077.495142
-2.8,126,18077.723967
-3.5,112,18077.854417
-1.35,155,18078.034254
-0.9,164,18159.480057
-3.0,122,18159.647558
-2.85,125,18159.822569
-3.65,109,18242.086384
-2.85,125,18242.41227
-2.4,134,18242.724061
-2.6,130,18243.053531
-2.0,142,18326.185672
1.9,201,18326.469098
-2.8,126,18326.633607
-1.55,151,18327.006052
-1.85,145,18407.696966
-2.45,133,18407.942762
-2.75,127,18408.262741
-2.15,139,18491.727247
-3.2,118,18491.938873
-1.35,155,18492.269466
-1.5,152,18492.481463
-2.45,133,18575.187165
-3.0,122,18575.436313
-2.6,130,18575.617374
-2.9,124,18575.766557
-2.8,126,18658.286195
-1.2,158,18658.511881
-1.8,146,18658.859638
2.9,221,18739.939218
-1.9,144,18740.272174
13.35,373,18821.610965
-1.15,159,18821.958502
6.05,265,18822.425009
6.35,271,18903.958549
-1.85,145,18904.229535
31.65,500,18984.669673
5.65,257,19065.295198
31.65,500,19148.135213
-1.55,151,19148.626094
30.7,500,19232.619427
9.6,317,19315.045505
1.3,189,19315.492546
-1.3,156,19315.745248
31.65,500,19397.469473
31.65,500,19480.165009
31.65,500,19562.06884
31.65,500,19645.799546
31.65,500,19731.146517
31.65,500,19818.102198
31.65,500,19903.564014
31.65,500,19992.047731
31.65,500,20076.200613
31.65,500,20165.439874
31.65,500,20252.129314
31.65,500,20337.768506
31.65,500,20424.111449
-6.7,67,20424.260761
31.65,500,20508.817474
31.65,500,20594.645966
31.65,500,20683.233652
12.3,371,20770.173319
14.2,390,20855.183558
14.65,399,20856.18411
-2.1,140,20939.609114
6.05,265,20940.191757
-2.4,134,20940.392764
30.7,500,21022.971991
31.65,500,21107.841653
31.65,500,21191.930244
31.65,500,21275.437209
30.7,500,21361.424295
31.65,500,21448.088211
30.7,500,21531.935381
31.65,500,21617.011449
32.6,500,21700.373629
30.7,500,21783.055286
19.05,468,21866.532416
32.6,500,21949.463464
31.65,500,22031.707956
30.7,500,22115.344017
31.65,500,22199.021571
9.0,305,22282.226174
31.65,500,22366.544454
31.65,500,22450.427843
19.25,472,22451.495722
-2.5,132,22535.523647
31.65,500,22618.864945
31.65,500,22703.448297
31.65,500,22788.055017
31.65,500,22873.058159
30.7,500,22959.55231
31.65,500,23044.990334
31.65,500,23128.886302
31.65,500,23213.106501
31.65,500,23213.967356
30.7,500,23297.899566
31.65,500,23382.561351
31.65,500,23467.481394
30.7,500,23552.256309
31.65,500,23634.483563
31.65,500,23718.633723
31.65,500,23801.810189
31.65,500,23886.589505
16.1,428,23970.050197
-2.5,132,23970.540241
31.65,500,24054.641194
31.65,500,24139.33935
31.65,500,24223.090526
31.65,500,24307.708016
30.7,500,24393.886673
31.65,500,24476.290128
31.65,500,24561.781789
31.65,500,24645.021058
31.65,500,24728.53297
31.65,500,24813.573505
31.65,500,24897.035817
31.65,500,24980.147413
31.65,500,25062.829277
30.7,500,25145.551351
31.65,500,25231.075225
31.65,500,25314.045557
30.7,500,25397.972124
31.65,500,25483.782282
32.6,500,25570.083466
30.7,500,25654.3268
31.65,500,25737.821968
32.6,500,25822.432185
30.7,500,25905.21395
31.65,500,25989.652078
31.65,500,26072.387143
31.65,500,26157.692332
