#{"t_start": 1789725977.5748188, "env_id": "None"}
r,l,t
9.4,313,2.117358
-6.0,81,2.418285
-6.3,75,2.656315
-6.75,66,94.796019
17.35,434,96.696532
-3.1,120,186.991469
-7.2,57,187.178463
-7.25,56,187.455608
-6.7,67,187.697389
-6.95,62,187.876488
-6.35,74,188.090227
1.2,187,274.66738
31.65,500,362.941957
-6.65,68,363.238315
-7.2,57,363.405569
-6.15,78,363.559455
31.65,500,452.730575
1.7,197,453.492322
3.55,234,543.304131
31.65,500,631.586784
-7.35,54,631.765509
6.45,273,632.669636
6.8,280,721.710049
10.1,327,810.650356
2.6,215,811.185262
-2.5,132,811.616472
12.0,365,899.687761
-5.75,86,899.911655
8.65,317,987.535907
3.2,227,988.269926
5.55,255,1075.292814
-7.0,61,1075.452049
19.95,486,1162.05238
-6.95,62,1162.225468
2.75,218,1162.730108
8.05,305,1246.97122
-3.3,116,1247.246011
2.85,220,1330.753647
-7.3,55,1331.011274
5.55,255,1331.567516
14.7,400,1417.348223
-2.1,140,1417.768003
0.7,177,1502.218525
-6.35,74,1502.482779
7.15,287,1503.22825
-2.0,142,1588.246069
1.65,196,1589.050873
7.45,293,3112.685628
13.75,381,3113.641262
6.45,273,3197.979363
11.4,353,3198.978877
6.95,283,3283.135517
-7.15,58,3283.405405
-1.15,159,3283.833031
2.0,203,3370.281617
-2.8,126,3370.627174
1.45,192,3371.15804
5.45,253,18091.189237
0.9,181,18091.53602
2.45,212,18174.449064
-0.9,164,18174.86897
-3.0,122,18175.222976
-2.85,125,18257.570144
-3.65,109,18257.834595
-2.85,125,18258.228195
-2.4,134,18258.505529
-2.6,130,18341.401721
-2.0,142,18341.836827
-3.15,119,18342.126908
2.25,208,18342.625999
-1.55,151,18425.595095
2.4,211,18426.108036
-2.25,137,18426.331101
-2.7,128,18510.607269
-2.9,124,18510.910569
-2.05,141,18511.131094
-1.75,147,18511.540671
-1.8,146,18595.039174
-3.0,122,18595.307665
-3.0,122,18595.602617
-2.5,132,18595.967247
1.55,194,18676.671352
