#{"t_start": 1789919801.4357119, "env_id": "None"}
r,l,t
-6.4,73,3.698056
2.45,212,4.023216
5.2,248,32.457229
-7.3,55,32.536649
-2.25,137,32.732845
-6.95,62,32.821383
-6.9,63,32.911277
1.15,186,61.817669
5.95,263,62.196385
-2.35,135,62.390023
20.05,488,91.623322
-7.4,53,91.700573
-5.8,85,120.375224
-2.0,142,120.582474
-3.3,116,120.749006
-2.0,142,120.954551
15.65,419,150.098859
-2.45,133,150.289327
19.2,471,179.469169
1.8,199,208.001383
1.9,201,208.287507
10.05,326,237.510906
-1.9,144,237.723031
30.7,500,267.310293
-3.3,116,267.478069
11.1,347,296.556545
30.7,500,325.866666
31.65,500,354.871752
-2.85,125,355.053236
31.65,500,383.911894
5.5,254,413.04151
31.65,500,442.546541
-2.35,135,442.744729
-3.2,118,442.916754
4.4,232,443.251461
31.65,500,472.401974
31.65,500,501.206843
16.45,435,529.973909
31.65,500,558.823746
31.65,500,587.769997
31.65,500,616.630486
31.65,500,645.576199
31.65,500,674.417418
16.45,416,703.148944
31.65,500,732.084589
-6.8,65,732.177609
31.65,500,761.053199
31.65,500,789.913042
31.65,500,818.795584
-3.25,117,818.962882
16.6,438,847.753282
6.35,271,876.262573
31.65,500,905.479849
30.7,500,934.742078
7.55,295,935.162857
9.9,323,964.033077
31.65,500,992.875737
31.65,500,1021.641949
31.65,500,1050.728251
31.65,500,1079.756308
32.6,500,1108.650511
31.65,500,1137.441531
31.65,500,1166.051829
-0.75,167,1166.2904
31.65,500,1195.077888
31.65,500,1223.821477
19.95,486,1252.804582
-6.95,62,1252.893402
9.6,317,1281.735984
31.65,500,1310.814197
31.65,500,1339.878905
31.65,500,1369.069953
-3.1,120,1369.242426
31.65,500,1398.360392
-3.35,115,1398.525811
31.65,500,1427.647018
30.7,500,1456.756372
30.7,500,1485.883997
31.65,500,1515.003211
31.65,500,1544.20296
31.65,500,1573.210643
31.65,500,1602.191343
7.15,287,1602.603257
-3.4,114,1631.150232
31.65,500,1660.074496
0.7,177,1660.328835
31.65,500,1689.234067
31.65,500,1718.158382
30.7,500,1747.024746
31.65,500,1775.966295
31.65,500,1804.877579
31.65,500,1833.751203
31.65,500,1862.613409
30.7,500,1891.493716
31.65,500,1920.370703
31.65,500,1949.235828
31.65,500,1978.057127
30.7,500,2006.901055
30.7,500,2035.739593
31.65,500,2064.613888
31.65,500,2093.499311
31.65,500,2122.456441
31.65,500,2123.169802
30.7,500,2152.01784
31.65,500,2180.989799
31.65,500,2210.006058
31.65,500,2238.93501
31.65,500,2267.874012
31.65,500,2296.710094
19.45,476,2325.538924
31.65,500,2354.325342
-6.5,71,2354.427567
30.7,500,2383.328514
31.65,500,2412.333255
32.6,500,2441.223854
31.65,500,2470.08624
31.65,500,2499.055735
31.65,500,2527.898219
31.65,500,2556.829264
31.65,500,2585.726678
31.65,500,2614.550201
32.6,500,2643.38559
31.65,500,2672.279147
31.65,500,2701.124677
31.65,500,2729.984957
31.65,500,2758.854103
30.7,500,2787.776268
31.65,500,2816.681533
31.65,500,2845.621903
31.65,500,2874.512093
31.65,500,2903.260634
31.65,500,2931.428931
31.65,500,2960.411492
31.65,500,2989.304956
31.65,500,3018.202571
31.65,500,3047.138116
31.65,500,3075.908023
31.65,500,3104.832804
31.65,500,3133.602121
31.65,500,3162.433804
31.65,500,3191.242788
30.7,500,3220.133252
32.6,500,3248.498523
31.65,500,3277.461478
-7.05,60,3277.548976
31.65,500,3306.721437
31.65,500,3335.820308
31.65,500,3364.679978
30.7,500,3393.410986
30.7,500,3421.26365
31.65,500,3449.060293
30.7,500,3476.822621
31.65,500,3504.465297
10.8,341,3504.929034
31.65,500,3532.544958
30.7,500,3560.318029
32.6,500,3589.373185
31.65,500,3618.399332
31.65,500,3647.22897
31.65,500,3676.008919
30.7,500,3704.83397
31.65,500,3733.6126
31.65,500,3762.626784
31.65,500,3791.512413
31.65,500,3819.237591
30.7,500,3847.724647
31.65,500,3876.75242
31.65,500,3905.757746
31.65,500,3934.636581
31.65,500,3963.510956
31.65,500,3992.246824
31.65,500,4021.014563
31.65,500,4048.777563
31.65,500,4076.445483
31.65,500,4104.085222
31.65,500,4131.699556
30.7,500,4159.490976
31.65,500,4188.56682
31.65,500,4217.627147
31.65,500,4246.545742
31.65,500,4275.397633
32.6,500,4304.375674
31.65,500,4333.288344
31.65,500,4362.214793
31.65,500,4391.007809
31.65,500,4391.725246
31.65,500,4420.550256
30.7,500,4449.358072
30.7,500,4478.202534
31.65,500,4507.046928
30.7,500,4535.95066
31.65,500,4564.796972
31.65,500,4593.735486
31.65,500,4622.665546
31.65,500,4650.724164
31.65,500,4678.436693
31.65,500,4706.183867
31.65,500,4733.811708
31.65,500,4762.052055
30.7,500,4791.123309
32.6,500,4820.439461
31.65,500,4849.352183
31.65,500,4878.244151
30.7,500,4907.165941
31.65,500,4936.088274
31.65,500,4964.578246
31.65,500,4992.286396
31.65,500,5019.918168
31.65,500,5047.686725
31.65,500,5075.432999
31.65,500,5104.19688
30.7,500,5132.840782
32.6,500,5161.461399
31.65,500,5190.366611
31.65,500,5219.169915
31.65,500,5247.96532
31.65,500,5276.812769
31.65,500,5305.706524
31.65,500,5334.548244
31.65,500,5363.420571
31.65,500,5392.257257
31.65,500,5421.040278
31.65,500,5449.844492
31.65,500,5478.308295
31.65,500,5507.28254
31.65,500,5536.097073
30.7,500,5565.086528
32.6,500,5594.029318
31.65,500,5594.749844
30.7,500,5623.637861
31.65,500,5652.507047
31.65,500,5681.383334
31.65,500,5710.299321
31.65,500,5739.164379
31.65,500,5767.976001
31.65,500,5795.874778
31.65,500,5823.655907
30.7,500,5851.412153
31.65,500,5879.167845
31.65,500,5906.964395
31.65,500,5934.711339
31.65,500,5962.454535
31.65,500,5990.50265
32.6,500,6019.654687
31.65,500,6048.011742
31.65,500,6077.176796
31.65,500,6106.410836
30.7,500,6135.316175
31.65,500,6164.170751
31.65,500,6193.033774
31.65,500,6221.904377
31.65,500,6250.703889
31.65,500,6279.561472
31.65,500,6308.481748
31.65,500,6337.393481
31.65,500,6365.284846
31.65,500,6392.851218
30.7,500,6420.551839
31.65,500,6448.227251
31.65,500,6475.934387
31.65,500,6503.587857
31.65,500,6531.267943
31.65,500,6558.930028
32.6,500,6587.566191
31.65,500,6616.778991
31.65,500,6645.910689
31.65,500,6674.881635
30.7,500,6704.109251
31.65,500,6733.249973
31.65,500,6762.392775
31.65,500,6791.463166
31.65,500,6792.184973
5.35,251,6820.931596
31.65,500,6849.996086
31.65,500,6879.010677
31.65,500,6908.15731
31.65,500,6937.12186
30.7,500,6966.151192
31.65,500,6995.233425
30.7,500,7024.079081
31.65,500,7052.14871
31.65,500,7080.051295
8.05,305,7080.464301
31.65,500,7108.400414
1.45,192,7135.821111
31.65,500,7163.711744
5.3,250,7164.050163
-2.9,124,7164.219827
32.6,500,7192.28335
-7.15,58,7220.991589
-2.0,142,7221.198286
31.65,500,7250.569339
11.0,345,7251.071431
30.7,500,7280.321973
31.65,500,7309.481096
31.65,500,7338.587562
31.65,500,7367.758369
31.65,500,7396.623741
31.65,500,7424.635049
30.7,500,7453.489404
31.65,500,7482.790085
31.65,500,7511.955632
32.6,500,7541.087953
31.65,500,7570.16992
18.9,465,7599.266468
6.35,271,7627.995497
11.15,348,7628.491394
31.65,500,7657.593338
31.65,500,7686.749798
12.45,374,7715.792328
31.65,500,7744.929244
30.7,500,7773.540647
30.7,500,7802.742153
30.7,500,7831.885847
31.65,500,7860.953035
31.65,500,7890.024347
31.65,500,7919.146713
2.05,204,7919.44021
31.65,500,7948.602775
-6.8,65,7948.696708
-5.95,82,7948.816404
30.7,500,7977.929288
31.65,500,8007.054929
31.65,500,8036.089258
31.65,500,8065.150246
31.65,500,8093.729603
30.7,500,8121.58195
31.65,500,8149.795754
6.35,271,8178.677696
31.65,500,8207.897876
31.65,500,8237.039116
31.65,500,8266.238594
-6.55,70,8266.340125
32.6,500,8295.572696
31.65,500,8324.760289
-7.2,57,8324.843074
31.65,500,8353.868747
-5.8,85,8353.992837
