#{"t_start": 1789919800.896191, "env_id": "None"}
r,l,t
-2.5,132,3.836866
-3.3,116,4.049051
-2.0,142,4.308618
1.85,200,33.88467
-2.6,130,34.122907
-3.1,120,34.344036
10.0,325,63.898039
-6.05,80,64.045147
3.2,227,64.463665
-7.35,54,64.562632
4.6,236,93.961757
-2.95,123,94.187861
-7.35,54,94.286961
-7.25,56,94.389522
-2.25,137,123.735268
-7.2,57,123.841282
-6.8,65,123.960831
13.1,387,153.711239
-3.15,119,153.929928
-2.75,127,154.162051
18.3,453,184.020412
-6.0,81,184.168259
1.75,198,214.065819
1.65,196,214.640819
-2.6,130,214.924474
-7.05,60,215.035338
-7.3,55,215.135905
-1.05,161,244.871921
6.5,274,245.374878
20.2,491,275.461885
-2.15,139,304.823919
8.55,296,305.368218
13.15,369,335.260134
0.95,182,335.594471
-2.35,135,335.848651
-6.7,67,365.055442
-1.25,157,365.344513
-6.7,67,365.467919
-2.95,123,365.694914
-6.9,63,365.816692
-6.85,64,365.934436
6.55,275,395.581892
-6.7,67,395.708015
9.7,319,425.418214
2.25,208,425.805362
3.4,231,455.426411
31.65,500,485.451019
-2.4,134,485.700325
-2.9,124,485.934535
-3.4,114,486.143428
-6.55,70,486.272164
-5.9,83,515.669874
-7.4,53,515.773887
5.15,247,516.22883
6.15,267,546.022341
19.2,471,576.082129
0.9,181,576.416265
-6.15,78,576.5598
16.6,438,606.747355
19.75,482,636.94471
9.2,309,666.687941
2.05,204,667.06298
-2.7,128,667.297834
10.55,336,697.168006
-6.6,69,697.294019
30.7,500,727.390017
31.65,500,757.457156
-3.15,119,757.676488
-2.6,130,757.915962
15.35,413,787.906261
9.85,322,817.629266
-2.1,140,817.888471
1.7,197,847.638929
2.15,206,848.01696
31.65,500,878.235671
1.2,187,878.579677
9.6,317,908.457244
-6.95,62,908.571118
18.4,455,938.620979
18.0,447,968.708985
-1.05,161,969.005178
-6.5,71,969.13582
-6.2,77,969.2776
8.5,314,999.039526
32.6,500,1029.145561
6.8,280,1058.873187
-1.95,143,1059.137176
14.85,403,1089.062665
-2.65,129,1089.300276
11.35,352,1119.169232
-6.6,69,1119.29665
-2.85,125,1119.52553
5.75,259,1120.001111
-6.1,79,1149.413268
-3.45,113,1149.62061
5.7,258,1150.094816
1.95,202,1179.703675
13.95,385,1180.410956
15.15,409,1210.348153
1.7,197,1239.85149
-6.85,64,1239.968976
1.3,189,1240.319906
-6.35,74,1240.456275
-5.85,84,1240.611529
30.7,500,1270.658453
30.7,500,1300.813909
31.65,500,1330.896976
1.3,189,1360.419512
0.15,166,1360.7319
9.85,322,1390.509909
2.3,209,1390.902623
-2.3,136,1391.151858
31.65,500,1421.285286
-2.05,141,1450.813068
31.65,500,1481.048037
-3.15,119,1481.268215
-7.3,55,1481.369487
13.15,369,1511.23136
6.4,272,1511.736441
30.7,500,1541.922843
11.7,359,1571.83159
1.95,202,1572.20238
31.65,500,1602.454679
-1.15,159,1631.874696
4.8,240,1632.313055
30.7,500,1662.484297
-1.95,143,1662.747454
-7.0,61,1662.860573
-6.7,67,1692.2022
31.65,500,1693.120758
30.7,500,1723.293367
10.9,343,1753.15555
31.65,500,1783.579224
32.6,500,1813.967419
30.7,500,1844.123122
31.65,500,1874.168622
31.65,500,1904.31
31.65,500,1934.543023
31.65,500,1964.73953
30.7,500,1994.912495
-7.3,55,1995.015
31.65,500,2025.267024
31.65,500,2055.721128
30.7,500,2086.088632
31.65,500,2116.594049
31.65,500,2146.850744
31.65,500,2177.029556
2.1,205,2177.409462
30.7,500,2207.62937
31.65,500,2238.024601
30.7,500,2268.404071
30.7,500,2298.657835
30.7,500,2328.960266
6.6,276,2359.107084
31.65,500,2389.361429
31.65,500,2419.664531
31.65,500,2449.983909
31.65,500,2480.009349
31.65,500,2510.532813
