#{"t_start": 1789725977.6774988, "env_id": "None"}
r,l,t
-2.5,132,1.578516
-3.3,116,1.988799
-2.0,142,2.544941
1.85,200,94.923235
-2.6,130,95.574439
-3.1,120,95.95752
10.0,325,187.519093
-6.05,80,187.701181
3.2,227,188.406136
-7.35,54,188.580515
4.6,236,274.822193
-2.95,123,275.201228
-7.35,54,275.344718
-7.25,56,275.464338
-2.25,137,363.7238
-7.2,57,363.915514
-6.8,65,364.197868
13.1,387,452.98112
-3.15,119,453.364047
-2.75,127,453.793367
18.3,453,544.338184
-6.0,81,544.568233
1.75,198,630.767485
1.65,196,631.317824
-2.6,130,631.748341
-7.05,60,631.958693
-7.3,55,632.104069
-1.05,161,720.144795
6.5,274,721.181538
20.2,491,809.505592
-2.15,139,897.923359
8.55,296,898.771775
13.15,369,986.862966
0.95,182,987.235906
-2.35,135,987.735663
-6.7,67,1073.840973
-1.25,157,1074.450925
-6.7,67,1074.57586
-2.95,123,1074.953229
-6.9,63,1075.201639
-6.85,64,1075.444478
6.55,275,1162.606304
-6.7,67,1162.791352
9.7,319,1248.24618
2.25,208,1248.72796
3.4,231,1334.036021
31.65,500,1421.378567
-2.4,134,1421.873461
-2.9,124,1422.284845
-3.4,114,1422.686839
-6.55,70,1422.855976
-5.9,83,1508.434672
-7.4,53,1508.598771
5.15,247,1509.221292
6.15,267,1595.60802
19.2,471,3118.524866
0.9,181,3119.042836
-6.15,78,3119.419396
16.6,438,3203.213895
19.75,482,3288.904511
9.2,309,3376.176789
2.05,204,3376.756812
-2.7,128,3377.205718
10.55,336,18096.63289
-6.6,69,18096.742639
30.7,500,18179.55201
31.65,500,18264.529418
-3.15,119,18264.75185
-2.6,130,18264.945577
15.35,413,18348.142104
9.85,322,18430.339332
-2.1,140,18430.613166
1.7,197,18514.117037
2.15,206,18514.79908
31.65,500,18599.173856
1.2,187,18599.518623
9.6,317,18682.677695
-6.95,62,18682.799016
18.4,455,18766.043359
18.0,447,18849.380021
-1.05,161,18849.840941
-6.5,71,18849.959563
-6.2,77,18850.07787
8.5,314,18932.42467
32.6,500,19013.447069
6.8,280,19095.587785
-1.95,143,19095.888391
14.85,403,19178.807823
-2.65,129,19179.164798
11.35,352,19262.759533
-6.6,69,19262.953915
-2.85,125,19263.215628
5.75,259,19263.746689
-6.1,79,19345.484558
-3.45,113,19345.715931
5.7,258,19346.341834
1.95,202,19427.323503
13.95,385,19428.396909
15.15,409,19511.078022
1.7,197,19594.799599
-6.85,64,19594.984032
1.3,189,19595.463021
-6.35,74,19595.673742
-5.85,84,19595.886204
30.7,500,19678.952033
30.7,500,19766.539022
31.65,500,19851.603601
1.3,189,19936.219156
0.15,166,19936.722256
9.85,322,20023.272076
2.3,209,20023.729502
-2.3,136,20023.978545
31.65,500,20112.069632
-2.05,141,20199.107855
31.65,500,20288.025259
-3.15,119,20288.45167
