#{"t_start": 1789626536.1351714, "env_id": "None"}
r,l,t
1.85,200,30042.112119
30.7,500,30125.604004
31.65,500,30208.814775
31.65,500,30292.931548
31.65,500,30375.635406
30.7,500,30458.585291
32.6,500,30540.99903
30.7,500,30625.713179
31.65,500,30708.838073
31.65,500,30793.043902
31.65,500,30877.928719
31.65,500,30961.492392
30.7,500,31045.028448
31.65,500,31128.073915
18.8,463,31211.986457
31.65,500,31293.80499
31.65,500,31377.614589
31.65,500,31461.779321
31.65,500,31545.823969
31.65,500,31629.132133
31.65,500,31712.178635
31.65,500,31796.197023
31.65,500,31878.697853
31.65,500,31961.693847
31.65,500,32045.066881
30.7,500,32127.932731
31.65,500,32210.525048
31.65,500,32293.688146
30.7,500,32376.863523
32.6,500,32461.11021
32.6,500,32545.551971
31.65,500,32546.632585
31.65,500,32630.504778
32.6,500,32714.787113
31.65,500,32799.296441
31.65,500,32883.49697
31.65,500,32967.198772
30.7,500,33053.094955
9.5,315,33140.772495
30.7,500,33228.591473
31.65,500,33316.309803
31.65,500,33403.901883
32.6,500,33490.09709
31.65,500,33576.408008
31.65,500,33659.670466
31.65,500,33745.883141
31.65,500,33832.134584
12.15,368,33919.415452
31.65,500,33920.450585
31.65,500,34007.500067
18.35,454,34092.740116
31.65,500,34180.978475
31.65,500,34267.167402
31.65,500,34354.419906
32.6,500,34442.659427
31.65,500,34528.815966
32.6,500,34616.59139
30.7,500,34704.017501
31.65,500,34791.696025
31.65,500,34877.311793
31.65,500,34963.360802
31.65,500,35051.113608
32.6,500,35137.727368
31.65,500,35222.324222
31.65,500,35309.647578
31.65,500,35395.352343
31.65,500,35480.816015
30.7,500,35567.157432
31.65,500,35653.908902
31.65,500,35740.830393
31.65,500,35829.096308
30.7,500,35917.478946
31.65,500,36002.917017
31.65,500,36090.257943
3.3,229,36090.961531
31.65,500,36178.813581
31.65,500,36266.211946
31.65,500,36355.067982
30.7,500,36442.393398
30.7,500,36529.031087
31.65,500,36616.270257
31.65,500,36702.858764
31.65,500,36789.436414
31.65,500,36875.299091
30.7,500,36962.219381
31.65,500,37049.077869
31.65,500,37136.353433
31.65,500,37222.565867
31.65,500,37309.947572
31.65,500,37397.504744
32.6,500,37485.320123
31.65,500,37572.978127
31.65,500,37659.098862
31.65,500,37745.88406
30.7,500,37832.63623
31.65,500,37920.310487
31.65,500,38007.095867
15.2,410,38095.029225
31.65,500,38181.91113
31.65,500,38183.284851
32.6,500,38269.184366
31.65,500,38357.12284
31.65,500,38443.990939
31.65,500,38530.374781
30.7,500,38617.065071
31.65,500,38703.897964
31.65,500,38791.55999
31.65,500,38878.285527
31.65,500,38966.293402
30.7,500,39052.617673
31.65,500,39140.563195
32.6,500,39226.592349
31.65,500,39314.251668
31.65,500,39399.738164
30.7,500,39485.48723
30.7,500,39563.162901
