#{"t_start": 1789919796.7133315, "env_id": "None"}
r,l,t
-2.5,132,3.949794
5.7,258,4.354238
-6.6,69,4.456474
31.65,500,33.767121
6.25,269,62.876204
3.2,227,63.201422
32.6,500,92.559561
-2.25,137,121.702746
7.5,294,122.184321
6.75,279,151.174855
0.95,182,151.47268
-7.2,57,151.566346
5.35,251,180.545805
-6.5,71,180.662462
6.7,278,181.123315
-2.05,141,209.981261
5.8,260,210.354628
-7.05,60,210.440601
12.05,366,239.629526
-2.9,124,239.808488
-2.3,136,240.004264
2.1,205,269.072691
15.65,419,298.374121
0.15,166,298.615181
1.05,184,298.882393
-7.15,58,298.965878
-7.15,58,328.459636
-2.2,138,328.657902
0.95,182,328.919914
2.2,207,358.154298
-1.6,150,358.370754
-2.95,123,358.548261
1.05,184,387.506373
-2.1,140,387.707532
-1.85,145,387.915679
0.6,175,388.166914
-1.9,144,417.131638
-2.9,124,417.309112
-1.4,154,417.529377
-1.05,161,446.491208
1.2,187,446.75897
-1.85,145,446.971068
-2.35,135,447.176093
9.9,323,476.450013
1.05,184,476.715841
-2.3,136,505.655976
-2.15,139,505.855514
9.4,313,535.116499
15.0,406,535.703409
-2.75,127,564.671099
-2.85,125,564.85159
1.7,197,565.13496
12.5,375,594.469196
-2.35,135,594.663058
1.3,189,623.788322
-1.2,158,624.015582
1.3,189,624.287592
-3.1,120,653.347019
5.65,257,653.716534
31.65,500,683.181829
6.85,281,712.371156
-0.9,164,712.606408
-2.6,130,712.793021
9.7,319,742.14582
4.55,235,742.52995
10.6,337,771.801907
-1.85,145,772.009987
5.75,259,801.239716
-2.3,136,801.463651
2.35,210,801.808531
9.45,314,831.106927
-1.6,150,831.355653
31.65,500,860.971709
31.65,500,890.6352
0.6,175,919.740565
-3.1,120,919.938657
-3.65,109,920.11827
31.65,500,949.721423
30.7,500,979.311841
-6.6,69,979.425842
1.15,186,979.731582
-7.0,61,1008.682098
-2.85,125,1008.88825
1.8,199,1009.214658
-6.0,81,1009.348098
-7.2,57,1009.441711
3.4,231,1038.560467
9.45,314,1067.784348
-1.6,150,1068.030838
-6.15,78,1068.158236
10.3,331,1097.36345
0.8,179,1097.658204
-2.1,140,1097.889109
-2.25,137,1126.88787
1.0,183,1127.189051
-6.95,62,1127.29083
-6.65,68,1127.402102
1.95,202,1156.540727
-3.4,114,1156.728625
-6.8,65,1156.83584
14.95,405,1186.442597
2.35,210,1186.788444
-1.95,143,1187.023492
1.35,190,1216.082463
-3.25,117,1216.275265
-1.2,158,1216.533876
3.5,233,1245.701973
1.45,192,1246.017223
4.55,254,1275.202667
1.75,198,1275.487543
1.9,201,1275.775775
6.35,271,1304.95356
-2.4,134,1305.147633
-2.5,132,1305.339581
0.25,168,1334.320788
-3.5,112,1334.482741
1.55,194,1334.76058
-2.7,128,1363.695006
2.3,209,1364.021667
1.5,193,1364.311243
0.8,179,1393.348676
-2.3,136,1393.545131
-2.6,130,1393.732767
-2.05,141,1422.693998
3.05,224,1423.016483
0.9,181,1423.277864
2.6,215,1452.349347
0.1,165,1452.587858
-2.95,123,1452.764958
1.45,192,1481.849539
-1.6,150,1482.064831
-3.0,122,1482.240993
-1.5,152,1511.28351
-1.8,146,1511.493532
-2.0,142,1511.698188
-1.4,154,1511.920452
-1.95,143,1541.025524
-2.45,133,1541.225607
1.95,202,1541.517557
-3.0,122,1570.446662
-1.25,157,1570.674193
0.55,174,1570.926101
-2.7,128,1571.114008
-1.6,150,1600.237931
0.75,178,1600.496276
-1.65,149,1600.70986
-1.3,156,1629.708443
-2.75,127,1629.918474
-1.45,153,1630.170737
-2.55,131,1630.387097
-1.6,150,1659.342896
-1.15,159,1659.60467
-3.35,115,1659.793675
-2.65,129,1688.839307
-0.8,166,1689.111444
-2.3,136,1689.334502
-2.35,135,1689.557023
-1.8,146,1718.651585
-2.0,142,1718.885362
-2.8,126,1719.091765
-1.25,157,1748.11515
-3.0,122,1748.315667
-3.35,115,1748.504728
-3.7,108,1748.681283
-2.7,128,1748.890587
-2.9,124,1777.98841
-3.6,110,1778.167614
-2.9,124,1778.37049
1.6,195,1807.562598
3.1,225,1807.932336
2.15,206,1808.26879
-2.0,142,1837.403215
-2.45,133,1837.623016
-2.7,128,1837.832958
-3.2,118,1838.026803
-1.6,150,1867.081091
-1.7,148,1867.322765
-2.15,139,1867.550027
-3.25,117,1867.741319
-1.7,148,1896.887968
-2.15,139,1897.087151
-3.35,115,1897.252018
-2.3,136,1926.228461
-3.35,115,1926.394563
-1.45,153,1926.614858
-2.35,135,1926.807516
2.85,220,1955.962409
-1.15,159,1956.226369
-2.0,142,1956.460976
1.35,190,1985.580895
-2.0,142,1985.813652
-2.15,139,1986.04243
-1.8,146,2015.038869
-3.4,114,2015.226207
1.0,183,2015.528823
-3.3,116,2015.720104
-1.65,149,2044.815804
-1.95,143,2045.050301
-2.0,142,2045.283594
2.05,204,2074.436287
-1.45,153,2074.68642
-1.85,145,2074.9237
-2.15,139,2075.15054
-3.6,110,2104.162818
-3.45,113,2104.347733
-2.9,124,2104.551799
-1.55,151,2104.798852
-2.85,125,2133.813625
-3.2,118,2134.007227
1.35,190,2134.318213
-1.8,146,2163.262717
-2.6,130,2163.475639
-1.8,146,2163.713864
6.9,282,2192.951713
-2.35,135,2193.174057
-1.85,145,2193.412769
-3.0,122,2193.61415
-1.9,144,2222.583913
2.3,209,2222.92687
-2.5,132,2223.143421
-0.7,168,2252.166799
1.95,202,2252.499346
-1.85,145,2252.736875
-1.5,152,2281.879695
3.6,235,2282.218476
1.85,200,2311.354207
3.5,233,2311.691391
7.55,295,2340.876648
1.55,194,2341.161592
-1.65,149,2341.376628
-2.9,124,2341.557242
1.8,199,2370.767711
-1.6,150,2371.015589
6.3,270,2400.35167
-7.2,57,2400.446078
-6.3,75,2400.570352
2.55,214,2400.923625
-2.5,132,2430.06576
10.55,336,2430.618716
3.4,231,2459.873733
5.55,255,2460.294449
2.25,208,2489.46039
-6.85,64,2489.567002
1.65,196,2489.889801
12.2,369,2519.247886
-2.7,128,2519.456729
7.4,292,2548.653604
-0.7,168,2548.896343
6.85,281,2578.170855
-2.2,138,2578.369396
15.95,425,2607.770703
20.55,498,2637.328903
-1.7,148,2637.543144
7.05,285,2637.956959
10.9,343,2667.308275
20.5,497,2696.964306
10.85,342,2726.290699
-2.55,131,2726.480146
0.45,172,2726.728498
31.65,500,2756.20945
14.6,398,2785.527481
-3.55,111,2785.688142
31.65,500,2815.153488
-2.3,136,2844.146459
1.65,196,2844.427816
-6.6,69,2844.527006
31.65,500,2874.003791
15.2,410,2903.305125
0.8,179,2903.563865
-2.1,140,2903.765986
6.45,273,2932.9919
-6.95,62,2933.082251
-2.65,129,2933.269301
-2.45,133,2962.177486
6.9,282,2962.581961
31.65,500,2992.236477
31.65,500,3021.832768
-1.85,145,3022.040745
15.5,416,3051.651594
6.8,280,3080.986779
-3.25,117,3081.184607
-7.2,57,3081.277508
-7.4,53,3081.364418
14.2,390,3110.827296
5.7,258,3139.986324
0.65,176,3140.277272
-6.55,70,3140.392114
-2.95,123,3140.594403
-1.15,159,3169.743602
-1.85,145,3169.981878
-0.65,169,3170.260118
-2.05,141,3170.493591
31.65,500,3200.061639
31.65,500,3229.782355
31.65,500,3259.332671
30.7,500,3288.927141
31.65,500,3318.482112
15.05,407,3348.043434
31.65,500,3377.653177
30.7,500,3407.182505
30.7,500,3436.865557
-3.2,118,3437.061711
1.1,185,3466.203643
31.65,500,3495.789501
31.65,500,3525.466824
30.7,500,3555.10575
32.6,500,3584.834452
32.6,500,3614.511557
31.65,500,3615.336216
6.35,271,3644.645223
31.65,500,3674.328919
-1.65,149,3674.576586
31.65,500,3704.266377
31.65,500,3733.850123
31.65,500,3763.38055
31.65,500,3793.074467
31.65,500,3822.594867
31.65,500,3852.187151
31.65,500,3881.776535
31.65,500,3911.441518
31.65,500,3941.108593
31.65,500,3970.753354
31.65,500,4000.422538
31.65,500,4029.92802
31.65,500,4059.442605
31.65,500,4089.040672
30.7,500,4118.709007
31.65,500,4148.396979
31.65,500,4178.011181
31.65,500,4207.521412
31.65,500,4237.141641
32.6,500,4266.737079
31.65,500,4296.665285
31.65,500,4326.199012
31.65,500,4355.678607
31.65,500,4385.241067
31.65,500,4414.834447
31.65,500,4444.401803
31.65,500,4474.053344
31.65,500,4503.678661
30.7,500,4533.313693
31.65,500,4562.92923
30.7,500,4592.552279
31.65,500,4622.325032
31.65,500,4651.908365
31.65,500,4652.627758
31.65,500,4682.230062
30.7,500,4711.831873
31.65,500,4741.426428
32.6,500,4771.096381
5.95,263,4800.408011
31.65,500,4830.09525
31.65,500,4859.844281
31.65,500,4889.574432
31.65,500,4919.281293
31.65,500,4948.961771
31.65,500,4978.574299
31.65,500,5008.213313
31.65,500,5037.885927
31.65,500,5067.647977
31.65,500,5097.276979
30.7,500,5127.072826
31.65,500,5156.841697
32.6,500,5186.525973
31.65,500,5216.311835
31.65,500,5246.06661
31.65,500,5275.842344
31.65,500,5305.598877
31.65,500,5306.429777
31.65,500,5336.215759
31.65,500,5365.965181
31.65,500,5395.700542
31.65,500,5425.36344
32.6,500,5455.1864
31.65,500,5484.87832
31.65,500,5514.516207
31.65,500,5544.194432
31.65,500,5574.236205
31.65,500,5604.043392
31.65,500,5633.816805
0.8,179,5663.067577
1.9,201,5663.399973
31.65,500,5693.373184
31.65,500,5723.165246
31.65,500,5752.967596
30.7,500,5782.754974
-6.5,71,5782.872596
31.65,500,5812.62306
31.65,500,5842.329646
31.65,500,5872.137329
31.65,500,5901.832511
31.65,500,5931.618071
31.65,500,5961.527756
31.65,500,5991.44925
31.65,500,6021.267418
31.65,500,6051.079913
32.6,500,6080.810426
30.7,500,6110.56288
31.65,500,6140.250676
31.65,500,6170.038946
31.65,500,6199.660033
31.65,500,6229.342911
30.7,500,6259.021283
32.6,500,6288.751364
30.7,500,6318.462951
31.65,500,6348.160337
31.65,500,6377.967801
31.65,500,6407.724552
31.65,500,6437.352752
31.65,500,6438.177378
31.65,500,6467.923404
31.65,500,6497.704258
31.65,500,6527.435022
31.65,500,6557.264166
21.55,499,6587.018442
30.7,500,6616.675042
31.65,500,6646.341657
15.7,420,6675.889235
32.6,500,6705.652892
32.6,500,6735.286887
31.65,500,6764.926284
31.65,500,6794.588966
31.65,500,6824.319821
30.7,500,6854.025054
32.6,500,6883.623528
30.7,500,6913.323393
31.65,500,6942.998869
31.65,500,6972.530255
30.7,500,7002.067397
31.65,500,7031.624051
31.65,500,7061.342355
31.65,500,7091.119416
31.65,500,7120.878043
30.7,500,7150.589936
31.65,500,7180.291245
31.65,500,7209.921869
31.65,500,7239.587339
31.65,500,7269.294584
31.65,500,7298.982625
32.6,500,7328.512119
31.65,500,7358.15598
30.7,500,7387.813049
31.65,500,7417.475951
31.65,500,7447.261617
31.65,500,7448.085451
31.65,500,7477.813609
31.65,500,7507.575758
-6.95,62,7536.588669
31.65,500,7566.206333
31.65,500,7596.05937
31.65,500,7625.669916
31.65,500,7626.499212
2.7,217,7655.669809
30.7,500,7685.332295
31.65,500,7715.048552
30.7,500,7744.815672
31.65,500,7774.594834
31.65,500,7804.350057
30.7,500,7834.117261
30.7,500,7863.824993
32.6,500,7893.511332
30.7,500,7923.336999
30.7,500,7953.033769
31.65,500,7982.676035
31.65,500,8012.244371
32.6,500,8041.871091
31.65,500,8071.537596
31.65,500,8101.268816
31.65,500,8130.976011
31.65,500,8160.804665
31.65,500,8161.636177
4.8,240,8190.950222
31.65,500,8220.617147
31.65,500,8250.185813
31.65,500,8279.780249
31.65,500,8309.347922
31.65,500,8338.983064
31.65,500,8368.627389
31.65,500,8398.262807
10.7,339,8398.821934
13.3,372,8428.335245
30.7,500,8458.02204
13.8,382,8487.461968
6.85,281,8487.923767
32.6,500,8517.614174
32.6,500,8547.248004
31.65,500,8576.908651
31.65,500,8606.547642
31.65,500,8636.173454
32.6,500,8665.882969
