node_index,root_id,type,family,role,side
8861,720575940630723685,T5a,T5 Neuron,input,right
8862,720575940630723948,T4b,T4 Neuron,input,left
8863,720575940630725162,T5d,T5 Neuron,input,left
8864,720575940630725340,T4b,T4 Neuron,input,left
8865,720575940630726442,T5c,T5 Neuron,input,left
8866,720575940630727276,T4a,T4 Neuron,input,left
8867,720575940630729180,T4d,T4 Neuron,input,left
8868,720575940630729320,T5b,T5 Neuron,input,right
8869,720575940630729580,T5d,T5 Neuron,input,left
8870,720575940630735447,T4a,T4 Neuron,input,right
8871,720575940630738775,T4d,T4 Neuron,input,right
8872,720575940630739705,T4c,T4 Neuron,input,right
8873,720575940630740421,T5c,T5 Neuron,input,left
8874,720575940630740439,T4d,T4 Neuron,input,left
8875,720575940630745196,T5a,T5 Neuron,input,left
8876,720575940630747356,T4d,T4 Neuron,input,left
8877,720575940630749647,T5b,T5 Neuron,input,left
8878,720575940630754635,T4b,T4 Neuron,input,right
8879,720575940630754942,T4d,T4 Neuron,input,left
8880,720575940630755269,T5d,T5 Neuron,input,right
8881,720575940630756712,T5a,T5 Neuron,input,right
8882,720575940630756734,T4d,T4 Neuron,input,left
8883,720575940630757371,T5a,T5 Neuron,input,right
8884,720575940630759223,T5b,T5 Neuron,input,left
8885,720575940630764793,T4b,T4 Neuron,input,right
8886,720575940630766610,T4b,T4 Neuron,input,right
8887,720575940630766647,T4b,T4 Neuron,input,right
8888,720575940630768146,T4d,T4 Neuron,input,right
8889,720575940630769399,T4c,T4 Neuron,input,left
8890,720575940630771707,T5a,T5 Neuron,input,left
8891,720575940630774376,T4d,T4 Neuron,input,right
8892,720575940630775545,T4a,T4 Neuron,input,left
8893,720575940630778981,T4d,T4 Neuron,input,right
8894,720575940630784599,T5a,T5 Neuron,input,right
8895,720575940630791798,T4a,T4 Neuron,input,left
8896,720575940630793943,T4c,T4 Neuron,input,right
8897,720575940630798039,T4c,T4 Neuron,input,left
8898,720575940630800747,T4b,T4 Neuron,input,right
8899,720575940630800762,T4a,T4 Neuron,input,right
8900,720575940630801605,T4c,T4 Neuron,input,right
