node_index,root_id,type,family,role,side
9364,720575940631804845,T4c,T4 Neuron,input,right
9365,720575940631809091,T5a,T5 Neuron,input,right
9366,720575940631813391,T5b,T5 Neuron,input,right
9367,720575940631814248,T5a,T5 Neuron,input,right
9368,720575940631816143,T5b,T5 Neuron,input,right
9369,720575940631817868,T4d,T4 Neuron,input,left
9370,720575940631821672,T4c,T4 Neuron,input,left
9371,720575940631824938,T5b,T5 Neuron,input,left
9372,720575940631827523,T5d,T5 Neuron,input,left
9373,720575940631829644,T5b,T5 Neuron,input,right
9374,720575940631830083,T4d,T4 Neuron,input,right
9375,720575940631832121,T5c,T5 Neuron,input,right
9376,720575940631844939,T5a,T5 Neuron,input,left
9377,720575940631846324,T4d,T4 Neuron,input,right
9378,720575940631855687,T4a,T4 Neuron,input,right
9379,720575940631856451,T5b,T5 Neuron,input,right
9380,720575940631857208,T4a,T4 Neuron,input,left
9381,720575940631861048,T4b,T4 Neuron,input,right
9382,720575940631863864,T5d,T5 Neuron,input,left
9383,720575940631867715,T4d,T4 Neuron,input,left
9384,720575940631872569,T4b,T4 Neuron,input,right
9385,720575940631876153,T5a,T5 Neuron,input,left
9386,720575940631879225,T4a,T4 Neuron,input,right
9387,720575940631879480,T4d,T4 Neuron,input,right
9388,720575940631881784,T4a,T4 Neuron,input,left
9389,720575940631883320,T5a,T5 Neuron,input,right
9390,720575940631883883,T4c,T4 Neuron,input,right
9391,720575940631884369,T5c,T5 Neuron,input,right
9392,720575940631885964,T4c,T4 Neuron,input,right
9393,720575940631886378,T4c,T4 Neuron,input,left
9394,720575940631887464,T4d,T4 Neuron,input,right
9395,720575940631888524,T4b,T4 Neuron,input,right
9396,720575940631894238,T4b,T4 Neuron,input,right
9397,720575940631895144,T5d,T5 Neuron,input,left
9398,720575940631895352,T4c,T4 Neuron,input,left
9399,720575940631897362,T4d,T4 Neuron,input,right
9400,720575940631900044,T5a,T5 Neuron,input,right
9401,720575940631900728,T5c,T5 Neuron,input,left
9402,720575940631901267,T5a,T5 Neuron,input,right
9403,720575940631906360,T4c,T4 Neuron,input,left
9404,720575940631909037,T4a,T4 Neuron,input,right
9405,720575940631911235,T5a,T5 Neuron,input,right
9406,720575940631912495,T5c,T5 Neuron,input,right
9407,720575940631913041,T5b,T5 Neuron,input,right
9408,720575940631913234,T4c,T4 Neuron,input,left
9409,720575940631915083,T4c,T4 Neuron,input,left
9410,720575940631920983,T5c,T5 Neuron,input,left
9411,720575940631925305,T4b,T4 Neuron,input,left
9412,720575940631927855,T5c,T5 Neuron,input,right
9413,720575940631927865,T5c,T5 Neuron,input,left
9414,720575940631928376,T5a,T5 Neuron,input,right
9415,720575940631929431,T4a,T4 Neuron,input,right
9416,720575940631929647,T5a,T5 Neuron,input,right
9417,720575940631935116,T4c,T4 Neuron,input,right
9418,720575940631937460,T4d,T4 Neuron,input,right
9419,720575940631938575,T4c,T4 Neuron,input,left
9420,720575940631944775,T4c,T4 Neuron,input,right
9421,720575940631945002,T5b,T5 Neuron,input,left
9422,720575940631946287,T5b,T5 Neuron,input,left
9423,720575940631947079,T5a,T5 Neuron,input,right
9424,720575940631951756,T4a,T4 Neuron,input,right
9425,720575940631953479,T5b,T5 Neuron,input,left
9426,720575940631957049,T4a,T4 Neuron,input,left
9427,720575940631958073,T4b,T4 Neuron,input,left
9428,720575940631958097,T5b,T5 Neuron,input,right
9429,720575940631961144,T5a,T5 Neuron,input,left
9430,720575940631961657,T4c,T4 Neuron,input,right
9431,720575940631964985,T5a,T5 Neuron,input,left
9432,720575940631966009,T4b,T4 Neuron,input,right
9433,720575940631971346,T4c,T4 Neuron,input,right
9434,720575940631972559,T4a,T4 Neuron,input,left
9435,720575940631973903,T4d,T4 Neuron,input,left
9436,720575940631974504,T4a,T4 Neuron,input,left
9437,720575940631974712,T5c,T5 Neuron,input,left
9438,720575940631975505,T4a,T4 Neuron,input,right
9439,720575940631980136,T5b,T5 Neuron,input,left
9440,720575940631980172,T5c,T5 Neuron,input,left
9441,720575940631981624,T5d,T5 Neuron,input,left
9442,720575940631984170,T4c,T4 Neuron,input,left
9443,720575940631991476,T5c,T5 Neuron,input,right
9444,720575940631991749,T4c,T4 Neuron,input,left
9445,720575940631992623,T5a,T5 Neuron,input,left
9446,720575940631994193,T5c,T5 Neuron,input,right
9447,720575940631994680,T5d,T5 Neuron,input,left
9448,720575940631999951,T4a,T4 Neuron,input,right
9449,720575940632003907,T4b,T4 Neuron,input,left
9450,720575940632007224,T5c,T5 Neuron,input,left
9451,720575940632007860,T4c,T4 Neuron,input,right
9452,720575940632008007,T4a,T4 Neuron,input,right
9453,720575940632008978,T4a,T4 Neuron,input,left
9454,720575940632009007,T4d,T4 Neuron,input,right
9455,720575940632009908,T4d,T4 Neuron,input,right
9456,720575940632015427,T4c,T4 Neuron,input,left
9457,720575940632025036,T4c,T4 Neuron,input,right
9458,720575940632027729,T5b,T5 Neuron,input,left
9459,720575940632032360,T4c,T4 Neuron,input,right
9460,720575940632033298,T5a,T5 Neuron,input,right
9461,720575940632033996,T5c,T5 Neuron,input,right
9462,720575940632042031,T4a,T4 Neuron,input,left
9463,720575940632043215,T5d,T5 Neuron,input,left
9464,720575940632046393,T5d,T5 Neuron,input,left
9465,720575940632048780,T4a,T4 Neuron,input,left
9466,720575940632049804,T4d,T4 Neuron,input,right
9467,720575940632057425,T4d,T4 Neuron,input,right
9468,720575940632062372,T5d,T5 Neuron,input,right
9469,720575940632063043,T5c,T5 Neuron,input,right
9470,720575940632066408,T5b,T5 Neuron,input,left
9471,720575940632066664,T5a,T5 Neuron,input,left
9472,720575940632067665,T4a,T4 Neuron,input,right
9473,720575940632068623,T5b,T5 Neuron,input,right
9474,720575940632070284,T4a,T4 Neuron,input,right
9475,720575940632070820,T5d,T5 Neuron,input,right
9476,720575940632072722,T4d,T4 Neuron,input,right
9477,720575940632074669,T4c,T4 Neuron,input,right
9478,720575940632078220,T4a,T4 Neuron,input,left
9479,720575940632079431,T4c,T4 Neuron,input,left
9480,720575940632079540,T4b,T4 Neuron,input,right
9481,720575940632081316,T5b,T5 Neuron,input,right
9482,720575940632085048,T5d,T5 Neuron,input,left
9483,720575940632086343,T4d,T4 Neuron,input,left
9484,720575940632087948,T4a,T4 Neuron,input,left
9485,720575940632091203,T4d,T4 Neuron,input,left
9486,720575940632091812,T5d,T5 Neuron,input,right
9487,720575940632093068,T5b,T5 Neuron,input,left
9488,720575940632095313,T5d,T5 Neuron,input,right
9489,720575940632096042,T5c,T5 Neuron,input,left
9490,720575940632103711,T5a,T5 Neuron,input,left
9491,720575940632104519,T4c,T4 Neuron,input,left
9492,720575940632109855,T5a,T5 Neuron,input,right
9493,720575940632110543,T4a,T4 Neuron,input,left
9494,720575940632111311,T5d,T5 Neuron,input,right
9495,720575940632112211,T5d,T5 Neuron,input,right
9496,720575940632114191,T4d,T4 Neuron,input,right
9497,720575940632116388,T4b,T4 Neuron,input,right
9498,720575940632116807,T5a,T5 Neuron,input,left
9499,720575940632120632,T4b,T4 Neuron,input,left
9500,720575940632123020,T4a,T4 Neuron,input,left
9501,720575940632124975,T5a,T5 Neuron,input,right
9502,720575940632125521,T4a,T4 Neuron,input,left
9503,720575940632133992,T4d,T4 Neuron,input,left
9504,720575940632148051,T5c,T5 Neuron,input,right
9505,720575940632150412,T5b,T5 Neuron,input,left
9506,720575940632153415,T5c,T5 Neuron,input,right
9507,720575940632158767,T4c,T4 Neuron,input,left
9508,720575940632161361,T5c,T5 Neuron,input,left
9509,720575940632161863,T4c,T4 Neuron,input,left
9510,720575940632163655,T5a,T5 Neuron,input,left
9511,720575940632168356,T4c,T4 Neuron,input,left
9512,720575940632168612,T4c,T4 Neuron,input,right
9513,720575940632169356,T4c,T4 Neuron,input,right
9514,720575940632178503,T5c,T5 Neuron,input,left
9515,720575940632179983,T5b,T5 Neuron,input,right
9516,720575940632183948,T5d,T5 Neuron,input,left
9517,720575940632190092,T4c,T4 Neuron,input,right
9518,720575940632191652,T5c,T5 Neuron,input,right
9519,720575940632197407,T5a,T5 Neuron,input,right
9520,720575940632200076,T5c,T5 Neuron,input,left
9521,720575940632201007,T4a,T4 Neuron,input,left
9522,720575940632201543,T4b,T4 Neuron,input,left
9523,720575940632206244,T5c,T5 Neuron,input,right
9524,720575940632206500,T5d,T5 Neuron,input,right
9525,720575940632207890,T4a,T4 Neuron,input,left
9526,720575940632208927,T4a,T4 Neuron,input,right
9527,720575940632209199,T5a,T5 Neuron,input,left
9528,720575940632211667,T5c,T5 Neuron,input,right
9529,720575940632211986,T4c,T4 Neuron,input,left
9530,720575940632212024,T5b,T5 Neuron,input,left
9531,720575940632213063,T4a,T4 Neuron,input,left
9532,720575940632213924,T5b,T5 Neuron,input,right
9533,720575940632216290,T5b,T5 Neuron,input,right
9534,720575940632218193,T4a,T4 Neuron,input,left
9535,720575940632218947,T4c,T4 Neuron,input,left
9536,720575940632219690,T4c,T4 Neuron,input,left
9537,720575940632220719,T4d,T4 Neuron,input,right
9538,720575940632222381,T4d,T4 Neuron,input,right
9539,720575940632224583,T5b,T5 Neuron,input,left
9540,720575940632226700,T5c,T5 Neuron,input,left
9541,720575940632229540,T5a,T5 Neuron,input,right
9542,720575940632233287,T5c,T5 Neuron,input,right
9543,720575940632235823,T4c,T4 Neuron,input,left
9544,720575940632237127,T5d,T5 Neuron,input,left
9545,720575940632237534,T5d,T5 Neuron,input,right
9546,720575940632240465,T5c,T5 Neuron,input,right
9547,720575940632244281,T5d,T5 Neuron,input,left
9548,720575940632245575,T5d,T5 Neuron,input,left
9549,720575940632251729,T5a,T5 Neuron,input,right
9550,720575940632258607,T4a,T4 Neuron,input,left
9551,720575940632259665,T5d,T5 Neuron,input,right
9552,720575940632264775,T5d,T5 Neuron,input,right
9553,720575940632269267,T4c,T4 Neuron,input,right
9554,720575940632272782,T5c,T5 Neuron,input,right
9555,720575940632275854,T5d,T5 Neuron,input,right
9556,720575940632276049,T5c,T5 Neuron,input,left
9557,720575940632280680,T4c,T4 Neuron,input,right
9558,720575940632280903,T4b,T4 Neuron,input,right
9559,720575940632284207,T5a,T5 Neuron,input,left
9560,720575940632289327,T5c,T5 Neuron,input,left
9561,720575940632293580,T5a,T5 Neuron,input,right
9562,720575940632293823,T5a,T5 Neuron,input,left
9563,720575940632297901,T4a,T4 Neuron,input,right
9564,720575940632299212,T4d,T4 Neuron,input,right
9565,720575940632299335,T4a,T4 Neuron,input,right
9566,720575940632300345,T4b,T4 Neuron,input,right
9567,720575940632300600,T4c,T4 Neuron,input,left
9568,720575940632301523,T4c,T4 Neuron,input,right
9569,720575940632301538,T4d,T4 Neuron,input,left
9570,720575940632304780,T4b,T4 Neuron,input,left
9571,720575940632305977,T4a,T4 Neuron,input,left
9572,720575940632309156,T5d,T5 Neuron,input,right
9573,720575940632309560,T5a,T5 Neuron,input,left
9574,720575940632310328,T4c,T4 Neuron,input,right
9575,720575940632312907,VSm,VS,processing,right
9576,720575940632313764,T4d,T4 Neuron,input,right
9577,720575940632321355,T5d,T5 Neuron,input,left
9578,720575940632328403,T4b,T4 Neuron,input,right
9579,720575940632332333,T4c,T4 Neuron,input,right
9580,720575940632335500,T4d,T4 Neuron,input,left
9581,720575940632336941,T4a,T4 Neuron,input,right
9582,720575940632347459,T5d,T5 Neuron,input,left
9583,720575940632349458,T4c,T4 Neuron,input,left
9584,720575940632351007,T5b,T5 Neuron,input,left
9585,720575940632352298,T5b,T5 Neuron,input,left
9586,720575940632353453,T4d,T4 Neuron,input,right
9587,720575940632356370,T5b,T5 Neuron,input,left
9588,720575940632358674,T5d,T5 Neuron,input,right
9589,720575940632358930,T4a,T4 Neuron,input,left
9590,720575940632359566,T4b,T4 Neuron,input,right
9591,720575940632361490,T5d,T5 Neuron,input,left
9592,720575940632361953,T5c,T5 Neuron,input,right
9593,720575940632364359,T4d,T4 Neuron,input,left
9594,720575940632368696,T4c,T4 Neuron,input,left
9595,720575940632374867,T4b,T4 Neuron,input,right
9596,720575940632375379,T5a,T5 Neuron,input,right
9597,720575940632378828,T4c,T4 Neuron,input,right
9598,720575940632384810,T5c,T5 Neuron,input,right
9599,720575940632388675,T4d,T4 Neuron,input,left
9600,720575940632389201,T4c,T4 Neuron,input,right
9601,720575940632393529,T4d,T4 Neuron,input,right
9602,720575940632394916,T4d,T4 Neuron,input,right
9603,720575940632395859,T5a,T5 Neuron,input,right
9604,720575940632397393,T5b,T5 Neuron,input,left
9605,720575940632397454,T5c,T5 Neuron,input,right
9606,720575940632397599,T5b,T5 Neuron,input,right
9607,720575940632402892,T4d,T4 Neuron,input,right
9608,720575940632403108,T5c,T5 Neuron,input,left
9609,720575940632403779,T5d,T5 Neuron,input,left
9610,720575940632405668,T5b,T5 Neuron,input,left
9611,720575940632407144,T5a,T5 Neuron,input,left
9612,720575940632407265,T5c,T5 Neuron,input,left
9613,720575940632410451,T5a,T5 Neuron,input,left
9614,720575940632413544,T4d,T4 Neuron,input,right
9615,720575940632416398,T5b,T5 Neuron,input,right
9616,720575940632417363,T4a,T4 Neuron,input,right
9617,720575940632418956,T5c,T5 Neuron,input,left
9618,720575940632426660,T5d,T5 Neuron,input,left
9619,720575940632429369,T4d,T4 Neuron,input,left
9620,720575940632429416,T4d,T4 Neuron,input,right
9621,720575940632429794,T5a,T5 Neuron,input,right
9622,720575940632430623,T5b,T5 Neuron,input,left
9623,720575940632432195,T4d,T4 Neuron,input,left
9624,720575940632433000,T4b,T4 Neuron,input,right
9625,720575940632435999,T5d,T5 Neuron,input,right
9626,720575940632439400,T4c,T4 Neuron,input,right
9627,720575940632441427,T4c,T4 Neuron,input,right
9628,720575940632442707,T5c,T5 Neuron,input,right
9629,720575940632442828,T4d,T4 Neuron,input,right
9630,720575940632444431,T4a,T4 Neuron,input,right
9631,720575940632452909,T5b,T5 Neuron,input,right
9632,720575940632453162,T4b,T4 Neuron,input,left
9633,720575940632453459,T5d,T5 Neuron,input,right
9634,720575940632454957,T5b,T5 Neuron,input,right
9635,720575940632458577,T4b,T4 Neuron,input,left
9636,720575940632462244,T5a,T5 Neuron,input,right
9637,720575940632475192,T4d,T4 Neuron,input,left
9638,720575940632478048,T5d,T5 Neuron,input,left
9639,720575940632478816,T5a,T5 Neuron,input,left
9640,720575940632479289,T5b,T5 Neuron,input,left
9641,720575940632482273,T4c,T4 Neuron,input,left
9642,720575940632483532,T4b,T4 Neuron,input,right
9643,720575940632484177,T4d,T4 Neuron,input,left
9644,720575940632485945,T5d,T5 Neuron,input,left
9645,720575940632490527,T4a,T4 Neuron,input,right
9646,720575940632502543,T4d,T4 Neuron,input,left
9647,720575940632503180,T4c,T4 Neuron,input,left
9648,720575940632504740,T5b,T5 Neuron,input,left
9649,720575940632504996,T5a,T5 Neuron,input,left
9650,720575940632509552,T4b,T4 Neuron,input,right
9651,720575940632511201,T5b,T5 Neuron,input,left
9652,720575940632514616,T4d,T4 Neuron,input,left
9653,720575940632520495,T5c,T5 Neuron,input,left
9654,720575940632521273,T5d,T5 Neuron,input,left
9655,720575940632531148,T5b,T5 Neuron,input,left
9656,720575940632532792,T4b,T4 Neuron,input,left
9657,720575940632534355,T5c,T5 Neuron,input,left
9658,720575940632534988,T5b,T5 Neuron,input,right
9659,720575940632536289,T5d,T5 Neuron,input,left
9660,720575940632536718,T5d,T5 Neuron,input,right
9661,720575940632537252,T4c,T4 Neuron,input,left
9662,720575940632537508,T4b,T4 Neuron,input,left
9663,720575940632537764,T4b,T4 Neuron,input,left
9664,720575940632540620,T5c,T5 Neuron,input,right
9665,720575940632540753,T5d,T5 Neuron,input,left
9666,720575940632541838,T5c,T5 Neuron,input,right
9667,720575940632542289,T5d,T5 Neuron,input,left
9668,720575940632542433,T5c,T5 Neuron,input,left
9669,720575940632544799,T5d,T5 Neuron,input,left
9670,720575940632554029,T4c,T4 Neuron,input,left
9671,720575940632554382,T5c,T5 Neuron,input,right
9672,720575940632554700,T4c,T4 Neuron,input,left
9673,720575940632559919,T5b,T5 Neuron,input,left
9674,720575940632560865,T5d,T5 Neuron,input,left
9675,720575940632564781,T5c,T5 Neuron,input,right
9676,720575940632567204,T4b,T4 Neuron,input,left
9677,720575940632568863,T4a,T4 Neuron,input,left
9678,720575940632572447,T5d,T5 Neuron,input,left
9679,720575940632574433,T5c,T5 Neuron,input,left
9680,720575940632576654,T4d,T4 Neuron,input,right
9681,720575940632576910,T4c,T4 Neuron,input,right
9682,720575940632577934,T5b,T5 Neuron,input,right
9683,720575940632587724,T4d,T4 Neuron,input,left
9684,720575940632588113,T4d,T4 Neuron,input,left
9685,720575940632588236,T5c,T5 Neuron,input,left
9686,720575940632588430,T4c,T4 Neuron,input,right
9687,720575940632588439,T5b,T5 Neuron,input,left
9688,720575940632588831,T4b,T4 Neuron,input,left
9689,720575940632591268,T5b,T5 Neuron,input,left
9690,720575940632591683,T4d,T4 Neuron,input,right
9691,720575940632591897,T4c,T4 Neuron,input,right
9692,720575940632593735,T5c,T5 Neuron,input,right
9693,720575940632593868,T5d,T5 Neuron,input,left
9694,720575940632600680,T5a,T5 Neuron,input,right
9695,720575940632600740,T4d,T4 Neuron,input,left
9696,720575940632602439,T4c,T4 Neuron,input,left
9697,720575940632605092,T4c,T4 Neuron,input,left
9698,720575940632605357,T5c,T5 Neuron,input,left
9699,720575940632606767,T4b,T4 Neuron,input,left
9700,720575940632607569,T4b,T4 Neuron,input,left
9701,720575940632609956,T4d,T4 Neuron,input,left
9702,720575940632610444,T5b,T5 Neuron,input,left
9703,720575940632611409,T5d,T5 Neuron,input,left
9704,720575940632611615,T4a,T4 Neuron,input,right
9705,720575940632613262,T4d,T4 Neuron,input,right
9706,720575940632613688,T5c,T5 Neuron,input,left
9707,720575940632619033,T4d,T4 Neuron,input,left
