#{"t_start": 1789919808.1502123, "env_id": "None"}
r,l,t
-2.3,136,3.942193
-5.8,85,4.121073
9.35,312,33.040353
-2.25,137,33.322373
-3.25,117,33.562855
-3.2,118,33.806654
2.7,217,62.647499
5.55,255,63.171437
-2.95,123,63.425344
-7.35,54,91.892101
12.15,368,92.64938
-7.4,53,92.760274
-5.8,85,121.301399
-6.8,65,121.434617
1.5,193,121.833236
20.25,492,151.241271
11.0,345,180.402236
1.0,183,180.781742
-1.85,145,181.079273
10.5,335,210.155512
5.75,259,210.689342
14.8,402,239.893352
2.5,213,268.733439
6.9,282,269.31736
3.2,227,298.235343
-6.75,66,298.371242
-2.55,131,298.64205
16.35,433,327.949118
2.75,218,328.39718
-2.3,136,357.11664
-2.55,131,357.387017
-6.65,68,357.528751
-2.85,125,357.788353
-6.25,76,357.946441
4.95,243,386.912703
-2.6,130,387.199651
-7.15,58,387.319336
-7.3,55,387.43301
1.8,199,416.29396
18.6,459,445.636573
-6.15,78,445.799693
-2.35,135,446.077522
0.5,173,446.434061
4.6,236,475.344427
3.4,231,475.822943
-7.25,56,475.938485
1.05,184,505.224933
1.95,202,505.649235
1.35,190,506.042773
3.5,233,534.943438
20.2,491,564.397981
2.9,221,564.855469
2.15,206,593.783927
2.35,210,594.217205
-2.8,126,594.476455
2.2,207,623.449222
-3.35,115,623.685988
-2.7,128,623.951061
-2.35,135,652.735548
1.9,201,653.151069
-2.4,134,653.426682
-3.05,121,653.675174
1.5,193,682.552738
0.5,173,682.910708
3.9,241,711.963793
0.1,165,712.305627
5.25,249,712.822748
4.35,231,741.914304
-6.35,74,742.067131
-2.4,134,742.343234
5.65,257,771.423633
-2.15,139,771.709368
-7.15,58,771.82951
-2.85,125,772.094464
1.9,201,801.020653
-6.8,65,801.15496
0.8,179,801.525795
3.45,232,830.502829
-6.95,62,830.630965
-2.1,140,830.92257
0.65,176,831.285495
-1.9,144,860.112581
1.8,199,860.525896
-2.45,133,860.803428
4.2,247,889.807194
2.35,210,890.239885
1.8,199,919.168688
-1.95,143,919.465044
1.95,202,919.88439
2.1,205,948.799936
3.15,226,949.269
-2.2,138,949.553695
2.35,210,978.555572
7.9,302,979.180295
-7.35,54,1007.887362
4.65,237,1008.376379
1.3,189,1008.766927
-2.75,127,1037.524382
-1.6,150,1037.868186
-3.1,120,1038.138823
3.3,229,1067.125123
5.7,258,1067.709947
1.05,184,1068.127062
1.6,195,1097.036775
2.85,220,1097.534756
1.1,185,1126.453474
-2.8,126,1126.739635
0.35,170,1127.129363
1.3,189,1156.016826
1.15,186,1156.437243
-2.55,131,1156.734825
2.4,211,1185.679433
-2.1,140,1185.998407
6.6,276,1186.627632
2.2,207,1215.547744
3.45,232,1216.078821
2.2,207,1245.017867
0.9,181,1245.390322
2.5,213,1245.830292
1.4,191,1274.758347
1.85,200,1275.170943
1.1,185,1304.076503
5.8,260,1304.614069
6.45,273,1333.73979
0.75,178,1334.106714
2.85,220,1334.561544
-7.25,56,1363.202458
-7.35,54,1363.313379
-6.35,74,1363.465979
-2.2,138,1363.751312
-5.7,87,1363.930765
6.95,283,1393.160601
-3.15,119,1393.406632
-2.7,128,1393.669159
1.5,193,1422.607593
7.35,291,1423.207506
4.8,240,1452.237656
2.25,208,1452.708287
0.8,179,1453.117327
-7.35,54,1481.775712
0.3,169,1482.163384
2.8,219,1482.65641
-2.0,142,1511.497867
2.75,218,1511.998615
6.95,283,1541.200358
1.75,198,1541.647325
-1.35,155,1542.005262
-1.55,151,1570.804038
2.4,211,1571.280492
0.95,182,1571.693237
-2.55,131,1600.539088
-1.6,150,1600.878336
-1.5,152,1601.221341
2.45,212,1630.158582
1.55,194,1630.596359
-1.85,145,1630.925144
-3.45,113,1631.181067
-1.2,158,1660.158704
1.8,199,1660.610212
0.85,180,1661.020218
-1.55,151,1689.809118
1.2,187,1690.230363
-0.65,169,1690.612265
0.3,169,1719.513093
-1.9,144,1719.812243
1.1,185,1720.193118
-1.8,146,1748.966544
-2.4,134,1749.243688
2.2,207,1749.66959
-2.85,125,1778.403797
1.65,196,1778.809516
-2.65,129,1779.075287
1.2,187,1807.954224
2.15,206,1808.378617
2.8,219,1808.829539
-1.55,151,1837.677616
2.6,215,1838.122208
-2.3,136,1838.40202
2.05,204,1867.358608
-1.4,154,1867.678278
2.3,209,1896.679961
3.4,231,1897.204297
1.0,183,1897.583962
3.6,235,1926.605819
1.15,186,1927.030908
1.9,201,1955.994113
2.6,215,1956.480444
1.75,198,1956.93453
2.15,206,1985.918119
-1.55,151,1986.258445
6.0,264,2015.377116
-3.4,114,2015.634284
-1.95,143,2015.958441
3.25,228,2044.959855
1.05,184,2045.373913
1.65,196,2045.816996
3.35,230,2074.868074
6.2,268,2075.472205
7.25,289,2104.603974
7.15,287,2105.198953
2.7,217,2134.169646
3.45,232,2134.649196
6.75,279,2163.717461
5.9,262,2164.260038
6.8,280,2193.316204
5.35,251,2193.834074
7.1,286,2222.990795
6.55,275,2223.61245
6.4,272,2252.712725
6.35,271,2281.778813
-7.4,53,2281.903773
6.2,268,2282.508879
-6.2,77,2282.683309
-7.2,57,2282.813216
7.2,288,2311.951053
7.35,291,2341.088914
1.85,200,2341.541112
6.15,267,2342.14968
10.25,330,2371.475395
2.7,217,2400.495222
-6.65,68,2400.649519
11.8,361,2401.46298
-7.25,56,2401.58908
7.35,291,2430.765312
-7.05,60,2430.904872
2.65,216,2459.878449
-2.85,125,2460.159494
-7.15,58,2460.290545
2.1,205,2460.753714
2.5,213,2489.777502
2.1,205,2490.237563
0.4,171,2490.621329
4.1,245,2519.752486
6.05,265,2520.350441
7.2,288,2549.543245
8.0,304,2578.811522
2.4,211,2579.285882
5.3,250,2608.363176
-7.25,56,2608.478094
0.65,176,2608.841724
1.7,197,2609.248861
6.25,269,2638.302896
1.0,183,2638.681187
8.05,305,2667.858587
1.7,197,2668.266032
-7.15,58,2668.385746
-6.8,65,2668.520277
6.9,282,2697.631433
6.1,266,2726.644544
5.5,254,2727.181794
6.75,279,2756.245986
-6.35,74,2756.399096
3.1,225,2756.866382
-2.75,127,2757.134317
5.15,247,2786.209183
1.2,187,2786.59673
1.3,189,2815.573991
-6.5,71,2815.721476
2.15,206,2816.148452
-3.0,122,2816.399365
4.75,239,2845.520463
-5.85,84,2845.696819
5.95,263,2875.081889
5.3,250,2875.65045
0.95,182,2876.065094
1.55,194,2905.61171
2.65,216,2906.109367
1.15,186,2935.40636
3.3,229,2935.926111
4.55,235,2936.460653
2.55,214,2965.840832
3.7,237,2966.381495
3.1,225,2995.826772
2.1,205,2996.291079
0.8,179,3025.621536
2.35,210,3026.099952
-1.15,159,3026.461368
2.0,203,3055.819004
4.85,241,3056.364709
-7.0,61,3056.503598
5.6,256,3086.043284
-7.05,60,3086.168125
2.6,215,3086.614753
10.1,327,3116.249162
5.65,257,3116.833213
2.9,221,3146.299399
5.8,260,3146.894416
1.35,190,3176.152421
2.0,203,3176.61276
2.0,203,3205.919873
2.3,209,3206.355535
3.05,224,3206.823938
1.0,183,3236.017165
5.45,253,3236.543351
-2.4,134,3265.642639
1.75,198,3266.057997
1.0,183,3266.440841
2.1,205,3295.808578
-1.85,145,3296.137706
1.55,194,3296.578886
3.0,223,3325.940082
6.45,273,3326.560213
5.9,262,3355.978125
2.45,212,3356.458798
-2.0,142,3356.780665
1.1,185,3386.093828
6.55,275,3386.718365
6.0,264,3416.227166
-6.65,68,3416.381892
5.85,261,3445.826
-5.85,84,3446.015535
2.25,208,3446.488434
3.55,234,3475.983416
5.45,253,3476.560045
-6.95,62,3476.70144
0.25,168,3505.905704
0.7,177,3506.29547
2.75,218,3506.744325
1.7,197,3536.010454
4.8,240,3536.510947
2.4,211,3565.902852
3.0,223,3566.370559
10.05,326,3595.948753
7.35,291,3596.554647
7.55,295,3625.989153
-2.1,140,3626.281452
8.15,307,3655.768083
2.65,216,3656.260286
6.15,267,3685.710942
2.8,219,3686.206718
2.1,205,3686.672339
-6.3,75,3715.750547
5.4,252,3716.324882
7.4,292,3745.844871
7.35,291,3746.504897
2.45,212,3775.950205
1.05,184,3776.369019
2.4,211,3776.849243
-6.0,81,3805.952217
5.8,260,3806.544008
6.35,271,3836.02548
10.15,328,3836.772043
6.75,279,3866.249849
-6.05,80,3866.431025
1.5,193,3866.870701
5.05,245,3896.34046
5.2,248,3896.910325
6.0,264,3926.384834
-3.05,121,3926.660878
5.75,259,3956.075745
7.55,295,3956.745238
2.1,205,3957.216334
7.0,284,3986.702092
10.55,336,4016.424073
4.1,245,4016.940278
-7.35,54,4017.053172
7.6,296,4046.575787
9.65,318,4047.246753
2.5,213,4076.567639
-2.65,129,4076.835943
5.65,257,4106.209126
2.7,217,4106.661996
6.05,265,4136.079686
11.85,362,4136.838046
6.8,280,4166.297516
-1.2,158,4166.627596
3.15,226,4196.059163
1.9,201,4196.477662
5.8,260,4197.027077
6.15,267,4226.478885
-7.35,54,4226.591393
-7.15,58,4226.713598
6.25,269,4256.165209
1.15,186,4256.55359
-6.9,63,4256.685189
-1.6,150,4285.849256
1.1,185,4286.235408
-1.7,148,4286.54486
0.9,181,4315.807336
2.05,204,4316.232606
1.7,197,4316.644708
2.55,214,4345.955786
1.6,195,4346.362269
2.5,213,4375.696864
2.05,204,4376.122016
1.4,191,4376.519995
2.75,218,4405.998132
2.4,211,4406.440419
2.25,208,4435.706484
15.0,406,4436.554421
0.8,179,4465.922362
3.3,229,4466.442106
1.45,192,4495.794415
-1.5,152,4496.138687
2.1,205,4496.607503
2.2,207,4525.951089
3.9,241,4526.496685
5.3,250,4555.908573
1.6,195,4556.350626
-0.9,164,4556.721788
-1.95,143,4585.86962
-1.85,145,4586.197021
-7.25,56,4586.323507
1.3,189,4586.750978
7.0,284,4616.262063
-6.55,70,4616.421649
5.9,262,4645.858695
-7.3,55,4645.9827
-6.9,63,4646.127524
6.3,270,4646.73917
1.05,184,4676.001695
0.5,173,4676.39356
6.45,273,4705.882425
6.3,270,4706.496989
4.9,242,4735.888482
-2.7,128,4736.178593
14.1,388,4765.908056
4.65,237,4766.406599
6.15,267,4795.818998
2.6,215,4796.265428
1.1,185,4796.650106
2.55,214,4825.943927
1.2,187,4826.333888
3.65,236,4855.720794
2.4,211,4856.159034
2.15,206,4856.58731
11.55,356,4886.112124
8.3,310,4915.626857
2.45,212,4916.067732
2.7,217,4916.519939
-7.15,58,4945.486568
1.7,197,4945.897709
8.45,313,4975.403016
-3.4,114,4975.640407
2.25,208,4976.076411
10.2,329,5005.596383
11.5,355,5035.159901
6.35,271,5035.774501
6.5,274,5065.217571
6.1,266,5065.773857
6.8,280,5095.22276
1.1,185,5095.60833
1.55,194,5096.01457
7.15,287,5125.473889
6.55,275,5154.951276
1.4,191,5155.384413
2.9,221,5155.88756
4.8,240,5185.313055
2.25,208,5185.75058
7.25,289,5215.194279
6.25,269,5215.753571
2.4,211,5245.078428
6.85,281,5245.663778
0.75,178,5275.036974
4.4,232,5275.559726
6.1,266,5305.125724
2.3,209,5305.599491
-6.5,71,5305.761934
5.65,257,5335.195373
5.4,252,5335.766468
3.95,242,5365.145568
3.05,224,5365.653094
2.1,205,5366.11814
2.3,209,5395.527316
1.35,190,5395.924117
1.35,190,5425.176462
0.55,174,5425.536942
7.3,290,5426.140506
0.65,176,5455.339731
3.6,235,5455.827898
5.0,244,5485.230618
2.8,219,5485.687759
-7.15,58,5485.809595
6.0,264,5515.242965
2.95,222,5515.705658
2.55,214,5545.008319
-2.0,142,5545.330894
0.5,173,5545.722047
1.3,189,5574.979931
-1.95,143,5575.304108
2.6,215,5575.791586
-2.05,141,5604.994779
2.65,216,5605.48222
2.9,221,5605.984962
1.35,190,5635.243551
8.85,302,5635.929042
1.3,189,5665.109621
2.95,222,5665.570102
0.4,171,5694.75832
0.2,167,5695.105694
1.95,202,5695.525572
1.95,202,5724.79763
2.0,203,5725.222203
2.65,216,5754.487482
5.2,248,5755.006435
-1.85,145,5755.308172
0.35,170,5784.511817
-2.55,131,5784.785906
1.05,184,5785.169295
1.7,197,5814.471467
-2.85,125,5814.733655
-3.4,114,5814.970547
1.7,197,5815.3792
3.25,228,5844.711324
4.7,238,5845.210712
-2.95,123,5874.282707
0.55,174,5874.645405
-2.75,127,5874.911595
-1.65,149,5875.221703
-1.65,149,5904.388376
-3.7,108,5904.613079
-1.9,144,5904.915245
-2.3,136,5933.917717
-2.45,133,5934.196594
-1.3,156,5934.52069
0.75,178,5934.892212
1.2,187,5964.116214
-2.4,134,5964.395959
-3.05,121,5964.648828
-1.45,153,5993.719097
-2.9,124,5993.977147
1.95,202,5994.39785
1.75,198,6023.562171
-1.25,157,6023.892096
-3.05,121,6024.145494
-2.25,137,6024.432314
-2.7,128,6053.420318
-1.65,149,6053.732209
-1.9,144,6054.032182
-1.55,151,6083.091287
-2.45,133,6083.370161
-3.0,122,6083.625011
-2.55,131,6083.900017
-3.05,121,6112.993735
0.55,174,6113.356744
-2.9,124,6113.615396
-1.05,161,6113.951829
-2.3,136,6143.111449
-2.25,137,6143.398763
-2.1,140,6143.690879
-2.2,138,6172.882293
3.4,231,6173.363393
-2.25,137,6173.64901
-3.05,121,6173.903147
-2.8,126,6203.025689
-2.2,138,6203.314072
-1.45,153,6203.632457
-3.2,118,6232.738276
-3.05,121,6232.990693
-2.1,140,6233.281009
-1.7,148,6233.588703
-1.65,149,6262.780763
-2.6,130,6263.052186
-2.55,131,6263.32647
-2.9,124,6263.585762
-1.8,146,6292.780144
-2.15,139,6293.070086
1.95,202,6293.488968
-1.9,144,6322.537945
-2.75,127,6322.805703
-2.05,141,6323.099067
0.6,175,6323.46526
-1.9,144,6352.495193
-2.75,127,6352.761655
-1.7,148,6353.070676
-2.85,125,6382.085501
-1.85,145,6382.390375
-2.55,131,6382.664168
-2.45,133,6382.94314
-2.0,142,6411.940969
-1.8,146,6412.248206
-2.05,141,6412.543057
2.6,215,6441.808513
-1.95,143,6442.112743
