#{"t_start": 1789919802.7330678, "env_id": "None"}
r,l,t
9.4,313,4.340435
-6.0,81,4.507064
-6.3,75,4.66115
-6.75,66,33.69684
17.35,434,34.600127
-3.1,120,63.832716
-7.2,57,63.96258
-7.25,56,64.088773
-6.7,67,64.239022
-6.95,62,64.379467
-6.35,74,64.546037
1.2,187,93.769245
31.65,500,123.598722
-6.65,68,123.752479
-7.2,57,123.879585
-6.15,78,124.053262
31.65,500,153.252165
1.7,197,153.694376
3.55,234,182.233394
31.65,500,211.662692
-7.35,54,211.774462
6.45,273,212.326508
6.8,280,241.169533
10.1,327,270.824528
2.6,215,271.278003
-2.5,132,271.552887
12.0,365,301.707456
-5.75,86,301.89029
8.65,317,331.813037
3.2,227,332.290077
5.55,255,361.7951
-7.0,61,361.92271
19.95,486,392.16199
-6.95,62,392.290112
2.75,218,392.741309
8.05,305,422.111866
-3.3,116,422.348259
2.85,220,451.086864
-7.3,55,451.203133
5.55,255,451.718788
14.7,400,480.73506
-2.1,140,481.020271
0.7,177,510.303793
-6.35,74,510.456778
7.15,287,511.047579
-2.0,142,540.085979
1.65,196,540.489975
7.45,293,569.793572
13.75,381,570.572927
6.45,273,599.735956
11.4,353,600.449518
6.95,283,629.146861
-7.15,58,629.274882
-1.15,159,629.627262
2.0,203,658.162208
-2.8,126,658.446489
1.45,192,658.88039
5.45,253,688.439344
0.9,181,688.850216
2.45,212,718.241879
-0.9,164,718.614801
-3.0,122,718.89227
-2.85,125,748.120536
-3.65,109,748.346421
-2.85,125,748.605078
-2.4,134,748.885389
-2.6,130,778.179358
-2.0,142,778.470968
-3.15,119,778.715705
2.25,208,779.145455
-1.55,151,808.866609
2.4,211,809.310342
-2.25,137,809.595134
-2.7,128,839.398006
-2.9,124,839.655231
-2.05,141,839.9486
-1.75,147,840.251906
-1.8,146,869.636954
-3.0,122,869.891269
-3.0,122,870.142748
-2.5,132,870.415302
1.55,194,899.81671
-1.2,158,900.144097
-1.8,146,900.445407
-1.55,151,929.562708
-1.4,154,929.881936
-3.25,117,930.125492
-1.75,147,959.636387
0.3,169,959.989351
-1.15,159,960.319842
-2.8,126,960.581722
-2.15,139,990.181076
-1.05,161,990.512749
-3.6,110,990.740659
-1.85,145,1019.969326
-2.6,130,1020.240659
1.75,198,1020.649562
-3.65,109,1020.875005
-5.8,85,1050.057657
1.85,200,1050.471054
-3.25,117,1050.713345
-3.1,120,1050.963264
-2.9,124,1079.438894
1.75,198,1079.839266
3.15,226,1080.299042
4.05,244,1109.362973
-1.85,145,1109.658054
-2.65,129,1138.745732
2.2,207,1139.176807
0.5,173,1139.538469
-1.45,153,1169.212742
2.05,204,1169.643608
-1.65,149,1169.9629
-1.7,148,1199.915952
-2.45,133,1200.198945
1.35,190,1200.599817
-3.45,113,1200.838499
-1.95,143,1230.507111
-2.5,132,1230.78037
-2.2,138,1231.067513
-2.3,136,1231.356278
1.5,193,1260.889162
-7.35,54,1261.003444
-1.3,156,1261.332366
-2.55,131,1261.605345
-2.55,131,1291.047179
0.9,181,1291.430612
-3.4,114,1291.667678
-2.3,136,1321.358729
-0.8,166,1321.707813
-1.3,156,1322.03705
-2.55,131,1322.312922
1.3,189,1352.312938
-2.85,125,1352.608128
0.95,182,1353.035769
-1.1,160,1382.622254
-2.3,136,1382.908926
-2.0,142,1383.203703
5.4,252,1413.141062
-2.35,135,1413.4213
-2.5,132,1413.694827
-3.3,116,1443.055068
-2.95,123,1443.313144
-2.15,139,1443.607803
-2.95,123,1443.865519
-7.0,61,1443.996993
2.35,210,1473.447186
3.15,226,1473.922496
-6.8,65,1474.05855
-2.55,131,1503.473831
1.0,183,1503.852577
-1.55,151,1504.16552
2.2,207,1533.636951
-2.15,139,1533.932011
-1.85,145,1534.236195
-6.9,63,1534.36777
5.5,254,1563.866271
7.65,297,1564.490049
-3.15,119,1593.899448
-1.85,145,1594.197193
-3.35,115,1594.436672
5.6,256,1624.113783
2.45,212,1624.555337
2.15,206,1654.507449
-6.4,73,1654.658178
3.15,226,1655.132292
6.2,268,1685.343731
-2.25,137,1685.627312
3.55,234,1686.121421
-3.0,122,1715.910495
-6.75,66,1716.051737
-6.75,66,1716.199127
2.15,206,1716.642471
6.35,271,1746.594069
5.45,253,1747.121708
-6.25,76,1747.280065
2.35,210,1776.86983
2.05,204,1777.293807
3.4,231,1806.678164
2.15,206,1807.104938
-7.1,59,1807.226756
5.0,244,1836.766918
-1.3,156,1837.123213
5.4,252,1837.699707
6.5,274,1867.415681
3.5,233,1867.94545
1.6,195,1896.939507
-2.2,138,1897.246745
-2.25,137,1897.553988
3.2,227,1926.938259
10.1,327,1927.613132
1.95,202,1956.995546
3.5,233,1957.476676
-7.3,55,1957.589663
-1.7,148,1986.66742
-1.9,144,1986.970535
2.7,217,1987.423021
2.5,213,2017.114426
2.35,210,2017.554801
-2.7,128,2017.823576
0.9,181,2047.574381
0.65,176,2047.948466
2.45,212,2077.474683
3.55,234,2077.964739
10.8,341,2107.69767
-1.5,152,2108.014147
0.5,173,2108.372837
-2.35,135,2137.694571
-3.55,111,2137.946717
4.85,241,2138.492938
2.5,213,2167.860355
1.15,186,2168.282865
-2.35,135,2168.589377
-6.45,72,2168.752411
-6.8,65,2197.842396
-2.6,130,2198.139367
3.95,242,2198.688082
-1.55,151,2227.909349
2.95,222,2228.412851
1.95,202,2228.870609
-2.65,129,2258.068332
-3.45,113,2258.325379
1.45,192,2258.760757
-2.7,128,2288.150693
5.95,263,2288.75514
-1.85,145,2289.088269
-3.45,113,2318.681435
-1.6,150,2319.027894
-2.75,127,2319.3205
2.9,221,2349.265084
5.35,251,2349.834818
1.25,188,2350.266164
6.35,271,2380.111534
-7.4,53,2380.231771
2.15,206,2380.699283
-7.35,54,2410.115169
2.1,205,2410.583108
-7.2,57,2410.71301
-6.5,71,2410.875302
-1.65,149,2411.221378
-1.55,151,2440.862759
-3.2,118,2441.132175
1.2,187,2441.563212
-2.05,141,2470.909659
1.55,194,2471.355744
-3.25,117,2471.622953
1.05,184,2501.361765
2.6,215,2501.852308
2.7,217,2502.347375
-1.9,144,2531.861422
-3.35,115,2532.122996
-1.6,150,2532.462824
1.05,184,2561.96551
-3.15,119,2562.233908
2.7,217,2562.727718
1.05,184,2592.380822
-2.4,134,2592.685222
2.4,211,2593.172268
-1.5,152,2622.79069
1.35,190,2623.191105
-2.6,130,2623.46089
-2.35,135,2623.740762
-1.9,144,2652.912402
2.85,220,2653.376487
-2.0,142,2653.671634
2.55,214,2683.108002
1.6,195,2683.512116
2.3,209,2712.505342
-2.5,132,2712.771241
-2.35,135,2713.05097
-2.15,139,2713.332662
-6.6,69,2742.19691
2.9,221,2742.668977
-1.35,155,2743.002462
5.85,261,2772.836436
2.55,214,2773.292612
7.55,295,2803.097305
2.5,213,2803.537169
1.85,200,2833.057546
-6.25,76,2833.220598
2.0,203,2833.645084
-0.8,166,2862.820245
0.25,168,2863.200959
0.95,182,2863.609868
6.95,283,2892.903813
-1.25,157,2893.263499
5.7,258,2922.504572
-2.25,137,2922.787227
-2.25,137,2923.072354
0.2,167,2923.417269
-2.3,136,2952.722373
2.4,211,2953.163684
7.25,289,2982.692465
-2.35,135,2982.976156
1.5,193,2983.37779
-3.45,113,3012.663794
-2.1,140,3012.958154
-1.3,156,3013.292083
-2.35,135,3013.579786
1.3,189,3043.238229
2.7,217,3043.686737
-3.35,115,3043.92706
-6.0,81,3072.998141
2.9,221,3073.458695
-0.85,165,3073.80039
2.7,217,3103.173561
1.05,184,3103.54813
-2.3,136,3103.82257
1.7,197,3132.444779
-2.5,132,3132.713439
-2.2,138,3132.993392
0.95,182,3161.734667
-2.6,130,3162.003514
-2.9,124,3162.257778
2.35,210,3191.955685
-2.8,126,3192.218605
-2.85,125,3192.481488
1.15,186,3192.87132
-2.7,128,3222.644547
-2.2,138,3222.935261
2.65,216,3223.386008
-1.6,150,3252.851384
-3.5,112,3253.109108
-2.1,140,3253.435775
1.8,199,3283.064051
-3.7,108,3283.286741
-7.1,59,3283.408685
-2.35,135,3283.686219
2.0,203,3284.104781
-7.05,60,3313.349968
-2.05,141,3313.650171
6.4,272,3314.210778
-1.35,155,3343.6678
7.65,297,3344.284395
0.7,177,3373.683119
-5.85,84,3373.856709
-2.3,136,3374.142335
7.15,287,3404.205188
10.35,332,3404.894825
-6.3,75,3405.052976
-1.45,153,3434.693169
3.4,231,3435.221173
-1.7,148,3435.557986
2.55,214,3465.063248
0.95,182,3465.476213
1.75,198,3494.856079
0.65,176,3495.264145
2.05,204,3495.732402
-3.35,115,3525.64666
-3.15,119,3525.9185
-1.7,148,3526.260117
-1.85,145,3526.593362
7.5,294,3556.657314
1.65,196,3557.104729
2.05,204,3586.757077
-3.2,118,3587.02669
-3.05,121,3587.302388
-3.4,114,3587.561364
-3.1,120,3616.960017
-0.4,174,3617.357984
-1.65,149,3617.702746
-1.4,154,3647.693177
2.85,220,3648.156921
-1.4,154,3648.48324
-2.85,125,3678.064405
