#{"t_start": 1789919808.8319457, "env_id": "None"}
r,l,t
-2.5,132,3.858907
-3.3,116,4.092123
-2.0,142,4.373345
1.85,200,33.855988
-2.6,130,34.108478
-3.1,120,34.340476
10.0,325,63.216801
-6.05,80,63.369478
3.2,227,63.802127
-7.35,54,63.904816
12.65,359,92.960868
8.95,304,122.117626
-6.8,65,122.241611
-5.75,86,122.406396
-5.75,86,122.570947
2.6,215,151.4605
-3.15,119,151.688146
-2.75,127,151.935875
31.65,500,181.004953
-6.55,70,181.138002
-7.4,53,181.237541
10.05,326,209.906398
-2.35,135,210.16468
2.65,216,238.981986
-1.6,150,239.265721
-2.9,124,239.500649
-2.3,136,239.758432
-1.6,150,268.898855
2.1,205,269.284419
-2.15,139,269.545517
32.6,500,299.120944
9.2,309,328.303196
1.95,202,328.693808
3.05,224,357.341149
1.15,186,357.690094
0.85,180,385.935794
3.15,226,386.370625
0.6,175,386.705894
2.25,208,416.034307
20.0,487,446.089279
2.85,220,446.513016
10.45,334,475.587762
4.7,238,476.043064
14.6,398,504.779208
13.8,382,531.563568
15.25,411,559.797214
-2.85,125,560.032132
-7.25,56,560.137226
-6.15,78,560.28358
-2.65,129,560.525474
30.7,500,589.074458
15.0,406,618.125364
4.85,241,647.156087
-2.1,140,647.422008
-7.4,53,647.522459
-1.95,143,647.79336
2.05,204,676.359327
1.55,194,676.723557
-6.35,74,676.860578
30.7,500,706.068055
-2.8,126,706.308827
-6.45,72,734.868329
-3.05,121,735.09786
-3.4,114,735.315098
-7.05,60,735.431269
-7.0,61,735.549427
-6.6,69,735.682048
10.7,339,764.231726
31.65,500,793.744567
-1.95,143,794.017804
5.8,260,822.631003
-7.35,54,822.732566
-5.75,86,822.893358
15.3,412,851.643076
1.2,187,852.002521
-6.15,78,852.152192
1.1,185,879.642345
-3.3,116,879.861958
-1.1,160,880.163924
4.45,233,908.624716
4.25,229,909.053427
-1.45,153,909.339771
2.35,210,938.166552
3.15,226,938.597471
8.5,314,967.667247
1.0,183,968.026037
1.15,186,997.143185
1.15,186,997.501734
1.8,199,997.884444
8.35,311,1027.097523
-2.5,132,1027.351155
-2.95,123,1055.861019
1.35,190,1056.225027
2.8,219,1056.653039
1.95,202,1085.78809
1.3,189,1086.145751
6.5,274,1115.031627
0.4,171,1115.361165
-2.5,132,1115.615532
2.2,207,1143.904986
0.7,177,1144.215583
-6.8,65,1144.329844
2.15,206,1144.690877
-7.25,56,1172.792715
2.3,209,1173.188453
-1.9,144,1173.46266
1.7,197,1202.427075
1.65,196,1202.796589
6.65,277,1232.489669
-0.55,171,1232.823158
1.45,192,1233.195781
-0.6,170,1262.930192
3.15,226,1263.373263
1.9,201,1263.767385
1.3,189,1293.095439
6.4,272,1293.610383
1.35,190,1322.199407
3.9,222,1322.612929
1.55,194,1349.724806
10.6,337,1350.314527
1.5,193,1376.552953
-3.1,120,1376.766399
-2.2,138,1377.011813
1.2,187,1377.338638
1.65,196,1403.184149
7.4,292,1403.680289
2.35,210,1429.429423
0.55,174,1429.726276
-3.0,122,1429.936603
14.55,397,1456.883637
1.9,201,1485.927582
2.8,219,1486.347803
-7.25,56,1486.454354
3.85,240,1515.841667
-1.95,143,1516.116054
-2.45,133,1516.370829
-2.45,133,1516.624593
-6.6,69,1544.976358
-6.6,69,1545.10543
-2.6,130,1545.348322
9.3,311,1573.31739
2.9,221,1573.71566
5.8,260,1574.183553
-1.95,143,1601.85197
-2.3,136,1602.116472
-6.5,71,1602.250629
3.0,223,1629.876428
2.4,211,1630.258301
-1.15,159,1630.544198
0.55,174,1657.802137
3.65,236,1658.226
2.05,204,1658.59386
2.5,213,1685.371269
1.65,196,1685.723706
-1.75,147,1711.951741
-2.3,136,1712.190719
-2.7,128,1712.413847
4.65,237,1738.945473
-3.5,112,1739.141079
-3.1,120,1739.350652
0.85,180,1739.665299
-3.65,109,1766.716134
-0.55,171,1767.028311
-2.1,140,1767.279413
-2.05,141,1767.531989
-2.2,138,1794.844245
-1.65,149,1795.110771
-3.6,110,1795.308264
-2.7,128,1795.536695
2.4,211,1822.203319
-1.7,148,1822.462902
1.75,198,1848.555851
-3.15,119,1848.763402
-0.55,171,1849.063375
0.35,170,1849.360931
1.35,190,1875.696722
2.55,214,1876.095583
-2.35,135,1903.202236
-1.6,150,1903.472515
8.05,305,1904.020346
-6.75,66,1930.710622
-2.35,135,1930.952426
1.7,197,1931.305795
-2.15,139,1931.554592
-1.8,146,1959.093204
4.3,230,1959.524378
-2.65,129,1959.764969
2.0,203,1987.492427
-1.95,143,1987.759796
2.2,207,2015.526056
-2.15,139,2015.787629
11.8,361,2016.468524
-2.55,131,2045.074318
0.25,168,2045.390605
-2.9,124,2045.621646
-1.55,151,2074.576496
-2.85,125,2074.811655
0.55,174,2075.138636
2.35,210,2103.422188
1.85,200,2103.797279
2.1,205,2104.179638
-1.55,151,2133.104934
2.2,207,2133.502279
2.3,209,2162.631929
-7.15,58,2162.74128
2.8,219,2163.156993
1.55,194,2163.522017
3.85,240,2192.341249
-7.35,54,2192.444461
3.45,232,2192.888578
2.5,213,2221.552188
-1.5,152,2221.842315
1.65,196,2251.342806
4.55,254,2251.832839
1.85,200,2252.224209
2.65,216,2281.664064
7.2,288,2282.218715
1.4,191,2311.176552
6.9,282,2311.718847
6.3,270,2340.762306
2.2,207,2341.160703
2.55,214,2369.763572
0.45,172,2370.084887
2.9,221,2370.498008
-6.8,65,2398.428926
11.8,361,2399.114204
-1.75,147,2427.279013
1.1,185,2427.609306
6.95,283,2428.11691
-6.7,67,2455.530196
-2.3,136,2455.788636
2.2,207,2456.182729
7.4,292,2485.494716
-0.7,168,2485.81916
6.85,281,2516.015242
10.6,337,2516.660975
-1.75,147,2545.975339
7.8,300,2546.550846
2.5,213,2576.002283
-1.95,143,2576.276325
7.2,288,2605.632241
-6.75,66,2605.75847
-5.7,87,2605.923497
-6.3,75,2606.066384
-6.85,64,2606.188671
-3.25,117,2606.412211
-2.1,140,2635.393775
11.6,357,2636.073966
6.5,274,2665.107909
1.8,199,2665.469779
0.45,172,2693.304239
1.15,186,2693.680774
3.1,225,2694.102308
0.95,182,2722.834477
-1.35,155,2723.13395
4.65,237,2723.592162
1.05,184,2752.469759
2.35,210,2752.87113
5.55,255,2782.111933
2.4,211,2782.517467
5.25,249,2811.448416
-1.3,156,2811.747107
-2.75,127,2811.99441
0.95,182,2840.405285
6.85,281,2840.933017
1.0,183,2841.278305
-7.35,54,2868.848207
-6.35,74,2868.984876
2.75,218,2869.370693
1.0,183,2869.691037
1.55,194,2895.993709
2.35,210,2896.357819
3.0,223,2923.2289
2.95,222,2923.629603
-6.15,78,2923.771918
1.2,187,2952.344219
5.45,253,2952.831031
6.7,278,2981.653346
2.0,203,2982.0466
7.7,298,3010.822488
-1.95,143,3011.094186
-2.25,137,3011.355191
8.1,287,3038.797379
5.65,257,3039.24984
2.1,205,3065.702338
-3.35,115,3065.909045
1.5,193,3066.257114
5.15,247,3094.768224
-1.15,159,3095.071903
-1.85,145,3095.354441
3.0,223,3124.405174
4.4,251,3124.885797
1.5,193,3153.982998
6.2,268,3154.482259
-7.35,54,3154.583233
3.05,224,3183.354734
2.2,207,3183.752471
-2.25,137,3184.014299
-2.55,131,3212.984869
7.9,302,3213.568896
2.9,221,3242.747852
-0.6,170,3243.073962
6.05,265,3272.193163
-2.7,128,3272.440624
2.95,222,3272.866812
-2.05,141,3301.878198
-6.05,80,3302.035049
0.45,172,3302.365205
2.75,218,3302.784369
-7.1,59,3331.689145
-6.5,71,3331.824707
9.4,313,3332.43257
-6.8,65,3332.556274
30.7,500,3362.214596
-2.15,139,3391.47587
-6.4,73,3391.616046
-1.4,154,3391.911102
4.95,243,3421.495359
1.0,183,3421.847748
-6.05,80,3422.009383
-5.8,85,3422.173281
-2.75,127,3451.144744
0.85,180,3451.489248
2.15,206,3451.884331
5.2,248,3481.245998
3.35,230,3481.68207
2.3,209,3511.131099
2.3,209,3511.529805
0.2,167,3511.846027
1.55,194,3541.181878
5.4,252,3541.657426
5.35,251,3571.116057
1.35,190,3571.482002
-2.55,131,3571.733447
2.75,218,3601.615419
6.75,279,3602.158113
1.2,187,3631.690279
2.85,220,3632.121794
-2.85,125,3632.36486
1.4,191,3661.541181
2.1,205,3661.945293
-2.15,139,3662.214622
1.45,192,3691.331903
-2.85,125,3691.570676
9.4,313,3720.765544
-2.3,136,3721.024588
-2.75,127,3721.267653
-7.15,58,3721.378757
1.55,194,3749.810529
-2.1,140,3750.071329
-7.15,58,3750.178969
-6.4,73,3750.315464
-6.1,79,3750.462049
-7.15,58,3750.570259
-6.15,78,3777.207535
0.8,179,3777.522797
-6.65,68,3777.64179
-7.3,55,3777.739982
-6.5,71,3777.864375
-6.05,80,3778.004802
-2.0,142,3805.151172
-2.3,136,3805.40863
1.45,192,3805.770788
1.3,189,3834.98277
1.2,187,3835.34226
2.6,215,3864.587395
-2.55,131,3864.837289
-1.35,155,3865.131566
7.85,301,3894.577012
5.1,246,3895.045643
0.95,182,3924.275216
-1.8,146,3924.556161
-1.85,145,3924.839244
-1.6,150,3925.131345
-2.05,141,3954.527038
-2.7,128,3954.772321
-3.55,111,3954.984026
-2.35,135,3955.240806
-1.9,144,3984.316038
-2.05,141,3984.584835
-1.75,147,3984.864839
-2.85,125,3985.102545
0.55,174,4013.840482
-2.85,125,4014.075223
-1.6,150,4014.357239
-2.5,132,4043.299717
1.95,202,4043.676661
-3.25,117,4043.894117
-2.3,136,4044.148169
-2.7,128,4072.993943
-1.4,154,4073.290025
-2.65,129,4073.535356
-2.5,132,4102.824429
-1.95,143,4103.094026
-0.45,173,4103.422006
1.65,196,4132.224589
-1.55,151,4132.509154
-2.4,134,4132.762507
2.8,219,4161.433382
-2.3,136,4161.687342
8.05,305,4162.259692
1.85,200,4190.607304
-2.85,125,4190.82642
1.5,193,4191.167624
3.8,239,4216.914405
1.1,185,4217.231505
-2.35,135,4217.459176
6.45,273,4242.834885
-2.95,123,4243.040735
1.15,186,4270.271509
5.85,261,4270.743006
0.3,169,4271.045841
-1.95,143,4298.731359
-2.65,129,4298.967694
5.7,258,4327.308495
9.5,315,4327.880392
-2.6,130,4328.115411
3.4,231,4355.476658
1.4,191,4355.818496
1.4,191,4382.789463
2.35,210,4383.164445
1.05,184,4383.492368
-7.0,61,4383.601273
2.45,212,4410.813091
2.4,211,4411.187594
-7.4,53,4411.282005
6.05,265,4438.07318
1.0,183,4438.394531
-2.2,138,4464.499029
5.85,261,4464.956105
2.2,207,4465.317475
0.3,169,4492.155221
3.45,232,4492.561738
2.2,207,4519.6904
2.8,219,4520.089563
1.65,196,4520.44054
2.5,213,4547.727868
2.6,215,4548.111487
-2.4,134,4575.037945
12.15,368,4575.679527
-2.25,137,4601.892901
-2.0,142,4602.145462
-7.25,56,4602.242548
-1.9,144,4602.492675
-5.65,88,4602.645633
-2.8,126,4628.999337
2.55,214,4629.358861
19.9,485,4654.917901
6.4,272,4679.843698
-3.35,115,4680.037513
-3.2,118,4680.236002
-6.8,65,4680.346184
7.75,299,4705.290483
-5.8,85,4705.435987
6.75,279,4705.912552
-5.9,83,4730.564593
-7.0,61,4730.669669
9.95,324,4731.221974
31.65,500,4758.348307
1.5,193,4785.734756
2.1,205,4786.103589
-5.8,85,4786.257532
15.3,412,4813.83664
-3.4,114,4814.040663
6.9,282,4841.917997
-1.4,154,4842.213145
1.75,198,4842.590133
0.4,171,4871.67108
3.65,236,4872.133254
6.05,265,4901.443033
4.85,241,4901.905128
2.05,204,4930.672646
6.05,265,4931.178803
5.1,246,4960.130055
2.55,214,4960.543123
5.05,245,4989.842089
11.55,356,4990.523866
-6.7,67,4990.652121
-6.25,76,5019.458842
0.75,178,5019.799853
-2.45,133,5020.05623
2.2,207,5048.862151
-2.4,134,5049.118679
5.75,259,5049.616911
1.45,192,5078.908066
3.1,225,5079.342856
1.85,200,5109.035502
-2.2,138,5109.298916
-0.7,168,5109.620556
-3.15,119,5109.848246
-1.8,146,5139.137103
0.6,175,5139.472146
1.3,189,5139.832635
-1.55,151,5168.492481
-3.0,122,5168.724577
-2.55,131,5168.973302
-3.3,116,5169.194492
-3.15,119,5197.19429
-2.35,135,5197.446534
-1.25,157,5197.739202
-1.9,144,5198.009033
-3.0,122,5225.93793
-2.35,135,5226.189175
-2.45,133,5226.437338
3.05,224,5253.942762
-3.25,117,5254.147607
-2.35,135,5254.386988
-2.45,133,5254.618668
-1.65,149,5281.694164
-2.5,132,5281.943998
2.5,213,5282.341724
1.05,184,5310.570961
-2.85,125,5310.804889
-1.05,161,5311.103616
-3.2,118,5339.277938
0.65,176,5339.609148
-0.9,164,5339.918807
0.85,180,5368.870116
-2.7,128,5369.112319
-2.65,129,5369.35542
-2.65,129,5369.598752
-1.65,149,5398.261686
-3.15,119,5398.487525
-3.4,114,5398.705238
-3.0,122,5398.936728
-2.4,134,5427.267074
6.35,271,5427.777718
-6.5,71,5427.911315
-7.3,55,5428.015733
-6.65,68,5428.143093
1.8,199,5456.743795
-7.05,60,5456.855707
-7.3,55,5456.964276
-2.85,125,5457.197692
-7.4,53,5457.296803
-7.2,57,5485.275547
-6.2,77,5485.418556
4.55,235,5485.854513
-2.55,131,5486.097911
-1.75,147,5514.08377
-6.05,80,5514.233624
